,Name_submitted,Accepted_name,Habit,NativeStatus,n_nurseries,StatesSold,NativeRange,StatesRegulated,P_conventional,P_native,Rank
16,Solidago caesia,Solidago caesia,Forb/herb,EFNative,47,"ME, MA, DE, PA, MD, NH, RI, NJ, VA, CT, OH, VT, WV","IL, MO, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.046875,0.421686747,16
17,Cornus amomum,Cornus amomum,Shrub,EFNative,65,"ME, MA, MD, NJ, VA, CT, PA, DE, RI, OH, VT","IL, IA, MO, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, DE, FL, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.1015625,0.469879518,17
18,Pycnanthemum tenuifolium,Pycnanthemum tenuifolium,Forb/herb,EFNative,54,"MA, PA, MD, NH, RI, CT, VA, NJ, DE, WV, NY, VT, ME, OH","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0703125,0.43373494,18
19,Chelone glabra,Chelone glabra,Forb/herb,EFNative,91,"MA, PA, NY, MD, NH, RI, NJ, VA, OH, CT, ME, VT, DE, WV","IL, IA, MN, MO, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.1796875,0.542168675,19
20,Corylus americana,Corylus americana,Shrub,EFNative,63,"MD, NH, MA, PA, CT, OH, NJ, VA, DE, VT, ME, RI","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.09765625,0.457831325,20
21,Symphyotrichum cordifolium,Symphyotrichum cordifolium,Forb/herb,EFNative,59,"ME, MA, PA, MD, NH, RI, OH, NJ, VA, CT, DE, VT","IL, IA, MN, MO, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, GA, KY, MD, NC, SC, TN, VA",NA,0.0859375,0.445783133,21
22,Packera aurea,Packera aurea,Forb/herb,EFNative,51,"MA, OH, PA, MD, VA, CT, DE, VT, ME, WV, NJ, RI, NH","IL, IA, MN, MO, ND, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, FL, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.0625,0.421686747,22
23,Pycnanthemum muticum,Pycnanthemum muticum,Forb/herb,EFNative,84,"MA, PA, NY, MD, NH, RI, VA, CT, OH, NJ, VT, DE, ME, WV","IL, MO, CT, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, MD, NC, TN",NA,0.16015625,0.518072289,23
24,Pycnanthemum virginianum,Pycnanthemum virginianum,Forb/herb,EFNative,48,"ME, MA, VA, PA, MD, NH, RI, DE, NJ, OH, VT","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, MD, TN, VA",NA,0.0546875,0.409638554,24
25,Solidago speciosa,Solidago speciosa,Forb/herb,EFNative,37,"MA, PA, NH, RI, MD, VA, CT, NJ, VT, ME, OH","MN, WI, CT, MA, NJ, NY, OH, RI, VT, WV, AL, DE, GA, KY, MD, NC, SC, TN, VA",NA,0.0234375,0.373493976,25
26,Symphyotrichum laeve,Symphyotrichum laeve,Forb/herb,EFNative,66,"ME, MA, OH, MD, NH, RI, PA, CT, NJ, VA, DE, VT, WV, NY","CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, CA, NV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.109375,0.457831325,26
27,Penstemon digitalis,Penstemon digitalis,Forb/herb,EFNative,103,"ME, MA, PA, NY, MD, NH, RI, NJ, VA, CT, VT, DE, WV, OH","IL, IA, KS, MN, MO, NE, OK, WI, IN, MI, OH, TX, AL, AR, KY, LA, MS, TN",NA,0.21875,0.56626506,27
28,Mimulus ringens,Mimulus ringens,Forb/herb,EFNative,38,"MA, PA, NH, MD, VA, CT, VT, RI, NJ, ME","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.02734375,0.373493976,28
29,Eurybia divaricata,Eurybia divaricata,Forb/herb,EFNative,36,"PA, MD, NJ, MA, VA, CT, RI, NH, ME","CT, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, DE, GA, KY, MD, NC, SC, TN, VA",NA,0.0234375,0.361445783,29
30,Solidago flexicaulis,Solidago flexicaulis,Forb/herb,EFNative,36,"ME, MA, PA, MD, VA, CT, OH, WV, NJ, RI, NH","IL, IA, KS, MN, MO, ND, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, VT, WV, AL, AR, DE, GA, KY, MD, NC, TN, VA",NA,0.0234375,0.361445783,30
31,Baptisia australis,Baptisia australis,Forb/herb,EFNative,94,"MA, KY, VT, PA, MD, NH, OH, RI, ME, NJ, VA, CT, DE, WV, NY","CO, IA, KS, MO, OK, IN, NY, OH, PA, VT, WV, AZ, NM, TX, AL, AR, DE, GA, KY, MD, TN, VA",NA,0.1953125,0.530120482,31
32,Eragrostis spectabilis,Eragrostis spectabilis,Grass,EFNative,71,"OH, PA, VA, CT, MA, MD, ME, RI, DE, NJ, NY, VT","CO, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, NM, TX, AL, AR, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.12890625,0.457831325,32
33,Euthamia graminifolia,Euthamia graminifolia,Forb/herb,EFNative,39,"MA, PA, RI, MD, VA, NJ, CT, WV, ME, NH","CO, WY, IA, MN, ND, SD, WI, ME, MI, NH, NY, PA, VT, WV, NM, MD, NC, SC, VA",NA,0.03515625,0.361445783,33
34,Rosa palustris,Rosa palustris,Shrub,EFNative,52,"MA, MD, PA, NH, NJ, RI, VA, CT, DE, ME, NY, VT, OH","IL, IA, MO, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, FL, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.07421875,0.397590361,34
