"","Name_submitted","Accepted_name","State","Raw.Scientific.Name","Reg.Level","Accepted.Symbol","Native.Status"
"2772","Acacia farnesiana","Vachellia farnesiana","PR","Acasia farnesiana","Noxious Weeds","ACFA","L48(N)HI(I)PR(N)VI(N)"
"2779","Euphorbia heterophylla","Euphorbia heterophylla","PR","Euphorbia heterophylla","Noxious Weeds","EUHE4","L48(N)HI(I)PR(N)VI(N)"
"2783","Opuntia dillenii","Opuntia tuna","PR","Opuntia dilleni","Noxious Weeds","OPDI3","L48(N)PR(N)VI(N)"
"2824","Hieracium laevigatum","Hieracium laevigatum","WA","Hieracium laevigatum","Class B","HILA4","L48(N)"
"2829","Impatiens capensis","Impatiens capensis","WA","Impatiens capensis","Class C","IMCA","L48(N)CAN(N)SPM(N)"
"2831","Mirabilis nyctaginea","Mirabilis nyctaginea","WA","Mirabilis nyctaginea","Class A","MINY","L48(N)CAN(N)"
"2832","Nymphaea odorata","Nymphaea odorata","WA","Nymphaea odorata","Class C","NYOD","L48(N)AK(I)PR(N)CAN(N)"
"2835","Sagittaria graminea","Sagittaria graminea","WA","Sagittaria graminea","Class B","SAGR","L48(N)CAN(N)"
"2848","Typha domingensis","Typha domingensis","WA","T. domingensis","Class C","TYDO","L48(N)HI(I)PR(N)VI(N)"
"2849","Typha domingensis","Typha domingensis","WI","Typha domingensis","Prohibited","TYDO","L48(N)HI(I)PR(N)VI(N)"
"2864","Hydrocotyle ranunculoides","Hydrocotyle ranunculoides","WI","Hydrocotyle ranunculoides","Prohibited","HYRA","L48(N)"
"2873","Najas marina","Najas marina","WI","Najas marina","Restricted","NAMA","L48(N)HI(I)PR(N)CAN(N)"
"2879","Robinia hispida","Robinia hispida","WI","Robinia hispida","Restricted","ROHI","L48(N)CAN(I)"
"2881","Solidago sempervirens","Solidago sempervirens","WI","Solidago sempervirens","Split-Listed","SOSE","L48(N)PR(I)CAN(N)"
"2890","Ambrosia psilostachya","Ambrosia psilostachya","WY","Ambrosia psilostachya DC.","Restricted Noxious Weed","AMPS","L48(N)CAN(N)"
"2891","Ambrosia tomentosa","Ambrosia tomentosa","WY","Ambrosia tomentosa","Prohibited Noxious Weed","AMTO3","L48(N)"
"2894","Glycyrrhiza lepidota","Glycyrrhiza lepidota","WY","Glycyrrhiza lepidota","Restricted Noxious Weed","GLLE3","L48(N)CAN(N)"
"2895","Iva axillaris","Iva axillaris","WY","Iva axillaris","Restricted Noxious Weed","IVAX","L48(N)CAN(N)"
"2896","Lactuca tatarica","Lactuca tatarica","WY","Lactuca tatarica subsp. pulchella (Pursh) Stebbins","Restricted Noxious Weed","LATA","L48(N)AK(N)CAN(N)"
