"","Name_submitted","Accepted_name","Accepted.Symbol","Range_Size","Precip","pH","Status"
"710","Cryptantha virginensis","Oreocarya virginensis","CRVI5",3.43e+11,1282.420044,7.460000396,"native"
"711","Cymopterus multinervatus","Vesper multinervatus","CYMU2",3.1e+11,1134.089951,7.460000396,"native"
"712","Salvia whitehousei","Salvia whitehousei","SAWH2",69791163453,380.8199921,1.079999447,"native"
"713","Senecio actinella","Packera actinella","SEAC2",1.66e+11,1025.670044,7.259999633,"native"
"714","Penstemon scapoides","Penstemon scapoides","PESC2",35645558473,1282.420044,4.980000019,"native"
"715","Bothriochloa alta","Bothriochloa alta","BOAL3",80571696099,784.7200165,5.309999943,"native"
"716","Phlox covillei","Phlox condensata subsp. covillei","PHCO12",2.21e+11,1714.910034,5.920000315,"native"
"717","Galium desereticum","Galium desereticum","GADE3",1.04e+11,772.0799866,5.080000401,"native"
"718","Lesquerella arizonica","Physaria arizonica","LEAR4",64500026175,712.5200272,7.460000396,"native"
"719","Asclepias scaposa","Asclepias scaposa","ASSC9",35179679160,287.5700073,1.019999504,"native"
"720","Drymaria molluginea","Drymaria molluginea","DRMO2",2.55e+11,1109.469978,7.259999633,"native"
"721","Machaeranthera blephariphylla","Xanthisma blephariphylla","MABL2",84579963427,784.7200165,5.309999943,"native"
"722","Cryptantha hoffmannii","Oreocarya hoffmannii","CRHO2",1.07e+11,1282.420044,5.080000401,"native"
"723","Cryptantha welshii","Oreocarya welshii","CRWE5",97616385332,638.6500015,5.080000401,"native"
"724","Lesquerella pendula","Physaria pendula","LEPE24",97616385332,638.6500015,5.080000401,"native"
"725","Euphorbia chamaesula","Euphorbia chamaesula","EUCH2",2.08e+11,1032.27005,7.259999633,"native"
"726","Eriogonum insigne","Eriogonum deflexum var. deflexum","ERIN10",2.23e+11,1282.420044,5.82000041,"native"
"727","Lobelia anatina","Lobelia anatina","LOAN",1.93e+11,1032.27005,7.259999633,"native"
"728","Astragalus proimanthus","Astragalus proimanthus","ASPR7",27005754244,396.5899963,1.53000021,"native"
"729","Ipomoea plummerae","Ipomoea plummerae","IPPL",2.94e+11,1032.27005,7.259999633,"native"
"730","Hilaria swallenii","Hilaria swallenii","HISW",39546044315,407.0299683,2.779999733,"native"
"731","Lupinus jonesii","Lupinus jonesii","LUJO2",16620949635,682.3100281,7.460000396,"native"
"732","Oenothera murdockii","Oenothera murdockii","OEMU5",16620949635,682.3100281,7.460000396,"native"
"733","Phlox jonesii","Phlox austromontana subsp. jonesii","PHJO",16620949635,682.3100281,7.460000396,"native"
"734","Sphaeromeria ruthiae","Artemisia ruthiae","SPRU3",16620949635,682.3100281,7.460000396,"native"
"735","Astragalus siliceus","Astragalus siliceus","ASSI3",28739812829,659.960022,3.790000439,"native"
"736","Eriogonum tiehmii","Eriogonum tiehmii","ERTI",9277050043,315.7000046,4.980000019,"native"
"737","Tonestus graniticus","Tonestus graniticus","TOGR2",9277050043,315.7000046,4.980000019,"native"
"738","Silene wrightii","Silene wrightii","SIWR",63916239983,931.7899475,3.909999847,"native"
"739","Muhlenbergia longiligula","Muhlenbergia longiligula","MULO",2.77e+11,1068.640045,7.259999633,"native"
"740","Selinocarpus nevadensis","Acleisanthes nevadensis","SENE5",2.34e+11,1282.420044,7.460000396,"native"
"741","Muhlenbergia dubia","Muhlenbergia dubia","MUDU",2.2e+11,1032.27005,7.179999709,"native"
"742","Purshia mexicana","Purshia mexicana","PUME",2.01e+11,1049.670052,7.259999633,"native"
"743","Poa atropurpurea","Poa atropurpurea","POAT",62855544991,1134.089951,4.019999504,"native"
"744","Selaginella cinerascens","Selaginella cinerascens","SECI",62855544991,1134.089951,4.019999504,"native"
"745","Pseudocymopterus longiradiatus","Cymopterus longiradiatus","PSLO3",87741147133,798.3600159,5.309999943,"native"
"746","Camissonia parryi","Chylismia parryi","CAPA38",1.3e+11,996.6000061,7.259999633,"native"
"747","Phacelia peirsoniana","Phacelia peirsoniana","PHPE2",1.36e+11,1662,5.080000401,"native"
"748","Allium gooddingii","Allium gooddingii","ALGO",1.34e+11,1025.420044,7.259999633,"native"
"749","Penstemon thompsoniae","Penstemon thompsoniae","PETH2",3.92e+11,1134.089951,7.460000396,"native"
"750","Arabis ophira","Boechera ophira","AROP",61310280002,574.9599991,5.080000401,"native"
"751","Draba arida","Draba arida","DRAR4",61310280002,574.9599991,5.080000401,"native"
"752","Tonestus alpinus","Toiyabea alpina","TOAL2",61310280002,574.9599991,5.080000401,"native"
"753","Trifolium rollinsii","Trifolium rollinsii","TRRO5",61310280002,574.9599991,5.080000401,"native"
"754","Baccharis havardii","Baccharis havardii","BAHA2",59697837095,758.1800079,4.669999599,"native"
"755","Tetraneuris argentea","Tetraneuris argentea","TEAR4",1.7e+11,1092.069977,7.2299999,"native"
"756","Agave gracilipes","Agave gracilipes","AGGR4",54853371703,766.210022,4.669999599,"native"
"757","Eriogonum rupinum","Eriogonum rupinum","ERRU3",1.15e+11,1662,5.080000401,"native"
"758","Oenothera cavernae","Oenothera cavernae","OECA5",1.33e+11,996.6000061,7.460000396,"native"
"759","Bouteloua ramosa","Bouteloua ramosa","BORA4",53819207779,391.75,1.079999447,"native"
"760","Penstemon barnebyi","Penstemon barnebyi","PEBA6",1.06e+11,1614.959999,5.080000401,"native"
"761","Echinomastus warnockii","Sclerocactus warnockii","ECWA3",53577144600,424.9799805,2.229999542,"native"
"762","Gilia stewartii","Giliastrum stewartii","GIST3",53577144600,424.9799805,2.229999542,"native"
"763","Porophyllum greggii","Porophyllum greggii","POGR6",53577144600,424.9799805,2.229999542,"native"
"764","Stellaria cuspidata","Stellaria cuspidata","STCU",53577144600,424.9799805,2.229999542,"native"
"765","Tagetes micrantha","Tagetes micrantha","TAMI",2.45e+11,1032.27005,7.259999633,"native"
"766","Echeandia flavescens","Echeandia flavescens","ECFL",2.63e+11,1032.27005,7.259999633,"native"
"767","Eriogonum ampullaceum","Eriogonum ampullaceum","ERAM2",53262212154,1662,4.980000019,"native"
"768","Grindelia havardii","Grindelia havardii","GRHA2",74935183584,755.280014,3.009999752,"native"
"769","Astragalus knightii","Astragalus knightii","ASKN",9609141803,642.4900055,4.549999952,"native"
"770","Physalis caudella","Physalis caudella","PHCA17",9609141803,642.4900055,4.549999952,"native"
"771","Townsendia gypsophila","Townsendia gypsophila","TOGY",9609141803,642.4900055,4.549999952,"native"
"772","Pennellia longifolia","Pennellia longifolia","PELO3",2.93e+11,1049.670052,7.259999633,"native"
"773","Primula specuicola","Primula specuicola","PRSP2",1.37e+11,1034.010048,7.460000396,"native"
"774","Tradescantia pinetorum","Tradescantia pinetorum","TRPI",2.36e+11,1032.27005,7.259999633,"native"
"775","Platanthera purpurascens","Platanthera purpurascens","PLPU7",1.29e+11,1078.349976,7.259999633,"native"
"776","Opuntia camanchica","Opuntia camanchica","OPCA7",81127880732,391.75,1.079999447,"native"
"777","Justicia warnockii","Justicia warnockii","JUWA",63554978241,311.0900269,1.079999447,"native"
"778","Argemone corymbosa","Argemone corymbosa","ARCO6",2.4e+11,1134.089951,7.460000396,"native"
"779","Echinomastus johnsonii","Sclerocactus johnsonii","ECJO3",2.2e+11,1282.420044,7.259999633,"native"
"780","Prunus havardii","Prunus havardii","PRHA",45109467874,311.0900269,1.079999447,"native"
"781","Ribes pinetorum","Ribes pinetorum","RIPI",2.76e+11,1032.27005,7.259999633,"native"
"782","Lycium shockleyi","Lycium shockleyi","LYSH",99297213758,624.0500183,5.080000401,"native"
"783","Mentzelia chrysantha","Mentzelia chrysantha","MECH",3970664370,523.3999939,2.740000248,"native"
"784","Mentzelia densa","Mentzelia densa","MEDE3",3970664370,523.3999939,2.740000248,"native"
"785","Penstemon degeneri","Penstemon degeneri","PEDE12",3970664370,523.3999939,2.740000248,"native"
"786","Astragalus albulus","Astragalus albulus","ASAL5",1.73e+11,1092.069977,7.2299999,"native"
"787","Hymenoxys brachyactis","Hymenoxys brachyactis","HYBR7",38390666167,784.7200165,3.650000095,"native"
"788","Malaxis soulei","Malaxis macrostachya","MASO8",2.4e+11,1025.670044,7.259999633,"native"
"789","Houstonia wrightii","Houstonia wrightii","HOWR",2.84e+11,1032.27005,7.259999633,"native"
"790","Mimosa emoryana","Mimosa emoryana","MIEM",43945768221,305.5200195,1.079999447,"native"
"791","Festuca calligera","Festuca calligera","FECA6",33396237205,996.6199799,4.549999952,"native"
"792","Psathyrotes pilifera","Psathyrotes pilifera","PSPI",1.28e+11,996.6000061,7.460000396,"native"
"793","Phaseolus maculatus","Phaseolus maculatus","PHMA17",2.47e+11,996.5399475,7.259999633,"native"
"794","Agastache micrantha","Agastache micrantha","AGMI",1.19e+11,1018.550049,7.2299999,"native"
"795","Cynanchum pringlei","Metastelma pringlei","CYPR11",43703705042,424.9799805,2.229999542,"native"
"796","Lycium puberulum","Lycium puberulum","LYPU",43703705042,424.9799805,2.229999542,"native"
"797","Lygodesmia ramosissima","Lygodesmia ramosissima","LYRA2",43703705042,424.9799805,2.229999542,"native"
"798","Xylorhiza wrightii","Xylorhiza wrightii","XYWR",43703705042,424.9799805,2.229999542,"native"
"799","Stanleya elata","Stanleya elata","STEL",1.46e+11,1282.420044,5.080000401,"native"
"800","Hymenocallis godfreyi","Hymenocallis godfreyi","HYGO2",1570616088,165.4400635,2.720000267,"native"
"801","Xyris panacea","Xyris panacea","XYPA",1570616088,165.4400635,2.720000267,"native"
"802","Erigeron subglaber","Erigeron subglaber","ERSU9",22921748434,996.6199799,3.769999504,"native"
"803","Scrophularia montana","Scrophularia montana","SCMO4",22921748434,996.6199799,3.769999504,"native"
"804","Muhlenbergia ramulosa","Muhlenbergia ramulosa","MURA4",2.6e+11,1085.469971,7.259999633,"native"
"805","Phacelia saxicola","Phacelia saxicola","PHSA",2.17e+11,1662,7.460000396,"native"
"806","Eurybia horrida","Eurybia horrida","EUHO4",44817554912,883.8199768,3.880000114,"native"
"807","Cryptantha setosissima","Oreocarya setosissima","CRSE5",3.13e+11,1063.260048,7.460000396,"native"
"808","Macromeria viridiflora","Lithospermum macromeria","MAVI",2.42e+11,1092.069977,7.259999633,"native"
"809","Eriogonum zionis","Eriogonum zionis","ERZI",1.26e+11,977.6300125,7.460000396,"native"
"810","Malaxis porphyrea","Tamayorkis porphyrea","MAPO15",2.09e+11,1025.670044,7.259999633,"native"
"811","Camissonia multijuga","Chylismia multijuga","CAMU13",2.66e+11,1039.279938,7.460000396,"native"
"812","Drymaria leptophylla","Drymaria leptophylla","DRLE3",2.13e+11,1109.469978,7.259999633,"native"
"813","Draba californica","Draba californica","DRCA5",43542396960,1662,4.980000019,"native"
"814","Draba subumbellata","Draba subumbellata","DRSU3",43542396960,1662,4.980000019,"native"
"815","Eriogonum latens","Eriogonum latens","ERLA4",43542396960,1662,4.980000019,"native"
"816","Potentilla thurberi","Potentilla thurberi","POTH2",2.49e+11,1032.27005,7.259999633,"native"
"817","Elymus bakeri","Elymus bakeri","ELBA3",54806969137,996.6199799,4.549999952,"native"
"818","Opuntia rufida","Opuntia rufida","OPRU3",47711972370,391.75,1.079999447,"native"
"819","Selinocarpus parvifolius","Acleisanthes parvifolia","SEPA",47711972370,391.75,1.079999447,"native"
"820","Penstemon cardinalis","Penstemon cardinalis","PECA15",65927607443,758.1800079,4.669999599,"native"
"821","Acleisanthes crassifolia","Acleisanthes crassifolia","ACCR",14981207022,330.1300049,1.319999695,"native"
"822","Bauhinia lunarioides","Bauhinia lunarioides","BALU",14981207022,330.1300049,1.319999695,"native"
"823","Carex wootonii","Carex wootonii","CAWO",2.42e+11,1025.670044,7.259999633,"native"
"824","Penstemon atwoodii","Penstemon atwoodii","PEAT4",23737485159,682.3100281,7.460000396,"native"
"825","Pediomelum pariense","Pediomelum pariense","PEPA41",23737485159,682.3100281,7.460000396,"native"
"826","Phacelia mammillarensis","Phacelia mammillarensis","PHMA10",23737485159,682.3100281,7.460000396,"native"
"827","Mentzelia obscura","Mentzelia obscura","MEOB3",2.98e+11,1282.420044,7.460000396,"native"
"828","Arabis tiehmii","Boechera tiehmii","ARTI2",24217436276,1585.610001,4.460000038,"native"
"829","Astragalus pinonis","Astragalus pinonis","ASPI4",1.81e+11,991.2200089,7.460000396,"native"
"830","Astragalus preussii","Astragalus preussii","ASPR6",3.8e+11,1282.420044,7.460000396,"native"
"831","Vanclevea stylosa","Chrysothamnus stylosus","VAST3",1.74e+11,1034.010048,7.460000396,"native"
"832","Penstemon acaulis","Penstemon acaulis","PEAC3",28810940160,845.8199768,2.930000305,"native"
"833","Phacelia neomexicana","Phacelia neomexicana","PHNE3",1.96e+11,1078.349976,7.2299999,"native"
"834","Cirsium chuskaense","Cirsium chellyense","CICH3",83178097256,1032.27005,7.179999709,"native"
"835","Draba asprella","Draba asprella","DRAS",1.16e+11,953.6300049,7.460000396,"native"
"836","Calochortus excavatus","Calochortus excavatus","CAEX2",34265346917,1662,4.329999447,"native"
"837","Dedeckera eurekensis","Dedeckera eurekensis","DEEU",34265346917,1662,4.329999447,"native"
"838","Hackelia brevicula","Hackelia brevicula","HABR4",34265346917,1662,4.329999447,"native"
"839","Horkelia hispidula","Horkelia hispidula","HOHI",34265346917,1662,4.329999447,"native"
"840","Penstemon monoensis","Penstemon monoensis","PEMO",34265346917,1662,4.329999447,"native"
"841","Phacelia inyoensis","Phacelia inyoensis","PHIN4",34265346917,1662,4.329999447,"native"
"842","Agave parviflora","Agave parviflora","AGPA5",26998410087,805.2700195,4.169999599,"native"
"843","Amoreuxia gonzalezii","Cochlospermum gonzalezii","AMGO",26998410087,805.2700195,4.169999599,"native"
"844","Amsonia grandiflora","Amsonia grandiflora","AMGR4",26998410087,805.2700195,4.169999599,"native"
"845","Anoda abutiloides","Anoda abutiloides","ANAB",26998410087,805.2700195,4.169999599,"native"
"846","Anoda reticulata","Anoda reticulata","ANRE2",26998410087,805.2700195,4.169999599,"native"
"847","Cuscuta odontolepis","Cuscuta odontolepis","CUOD",26998410087,805.2700195,4.169999599,"native"
"848","Dalea lumholtzii","Dalea lumholtzii","DALU",26998410087,805.2700195,4.169999599,"native"
"849","Hexalectris colemanii","Hexalectris colemanii","HECO18",26998410087,805.2700195,4.169999599,"native"
"850","Lagascea decipiens","Lagascea decipiens","LADE7",26998410087,805.2700195,4.169999599,"native"
"851","Loeselia glandulosa","Loeselia glandulosa","LOGL3",26998410087,805.2700195,4.169999599,"native"
"852","Manihot davisiae","Manihot davisiae","MADA2",26998410087,805.2700195,4.169999599,"native"
"853","Mammillaria mainiae","Cochemiea mainiae","MAMA6",26998410087,805.2700195,4.169999599,"native"
"854","Muhlenbergia elongata","Muhlenbergia elongata","MUEL2",26998410087,805.2700195,4.169999599,"native"
"855","Notholaena lemmonii","Hemionitis lemmonii","NOLE",26998410087,805.2700195,4.169999599,"native"
"856","Passiflora arizonica","Passiflora arizonica","PAAR",26998410087,805.2700195,4.169999599,"native"
"857","Solanum lumholtzianum","Solanum lumholtzianum","SOLU2",26998410087,805.2700195,4.169999599,"native"
"858","Stevia lemmonii","Stevia lemmonii","STLE",26998410087,805.2700195,4.169999599,"native"
"859","Tithonia thurberi","Tithonia thurberi","TITH",26998410087,805.2700195,4.169999599,"native"
"860","Zornia leptophylla","Zornia leptophylla","ZOLE",26998410087,805.2700195,4.169999599,"native"
"861","Bulbostylis schaffneri","Bulbostylis schaffneri","BUSC2",17214061663,398.2700043,3.599999905,"native"
"862","Penstemon pseudoparvus","Penstemon pseudoparvus","PEPS4",17214061663,398.2700043,3.599999905,"native"
"863","Phoradendron bolleanum","Phoradendron bolleanum","PHBO3",17214061663,398.2700043,3.599999905,"native"
"864","Cryptantha crymophila","Oreocarya crymophila","CRCR5",15561210489,1585.610001,5.630000353,"native"
"865","Nolina erumpens","Nolina erumpens","NOER",56284043179,305.5200195,1.079999447,"native"
"866","Ptilagrostis porteri","Ptilagrostis porteri","PTPO",22499386298,828.9599609,2.890000343,"native"
"867","Mimosa turneri","Mimosa turneri","MITU",56041980000,424.9799805,2.229999542,"native"
"868","Aliciella sedifolia","Aliciella sedifolia","ALSE11",2893614469,927.0699463,1.990000248,"native"
"869","Phlox cluteana","Phlox cluteana","PHCL",1.72e+11,1049.670052,7.179999709,"native"
"870","Valeriana texana","Valeriana texana","VATE",50329325055,758.1800079,4.669999599,"native"
"871","Eriogonum hieraciifolium","Eriogonum hieraciifolium","ERHI3",2.25e+11,1032.27005,7.259999633,"native"
"872","Ariocarpus fissuratus","Ariocarpus fissuratus","ARFI",67742724571,363.6799927,1.38999939,"native"
"873","Mirabilis decipiens","Mirabilis decipiens","MIDE5",2.73e+11,1093.809975,7.460000396,"native"
"874","Sisymbrium auriculatum","Cardamine komarovii","SIAU2",60050247328,391.75,1.079999447,"native"
"875","Myosurus nitidus","Ranunculus egglestonii","MYNI",84443926739,953.6300049,6.910000205,"native"
"876","Eriogonum subreniforme","Eriogonum subreniforme","ERSU5",2.02e+11,1049.670052,7.460000396,"native"
"877","Calochortus aureus","Calochortus aureus","CAAU8",2e+11,1034.010048,7.460000396,"native"
"878","Oxytheca watsonii","Oxytheca watsonii","OXWA",1.08e+11,1282.420044,5.080000401,"native"
"879","Houstonia rubra","Houstonia rubra","HORU",3.69e+11,1093.809975,7.259999633,"native"
"880","Pseudognaphalium arizonicum","Pseudognaphalium arizonicum","PSAR12",1.48e+11,977.6300125,7.259999633,"native"
"881","Leibnitzia lyrata","Leibnitzia lyrata","LELY6",1.4e+11,1025.670044,7.259999633,"native"
"882","Hedeoma plicata","Hedeoma plicata","HEPL",42682998204,407.0299683,2.619999409,"native"
"883","Erigeron rhizomatus","Erigeron rhizomatus","ERRH2",75341560118,1018.550049,7.179999709,"native"
"884","Arabis goodrichii","Boechera goodrichii","ARGO5",1.11e+11,968.6499405,5.080000401,"native"
"885","Dalea greggii","Dalea greggii","DAGR2",55456462267,339.4000244,2.619999409,"native"
"886","Abutilon reventum","Abutilon reventum","ABRE",23794796847,738.9799805,4.169999599,"native"
"887","Abutilon thurberi","Pseudabutilon thurberi","ABTH2",23794796847,738.9799805,4.169999599,"native"
"888","Amsonia kearneyana","Amsonia kearneyana","AMKE",23794796847,738.9799805,4.169999599,"native"
"889","Atamisquea emarginata","Morisonia atamisquea","ATEM",23794796847,738.9799805,4.169999599,"native"
"890","Boerhavia megaptera","Boerhavia megaptera","BOME",23794796847,738.9799805,4.169999599,"native"
"891","Bursera fagaroides","Bursera fagaroides","BUFA",23794796847,738.9799805,4.169999599,"native"
"892","Cordia parvifolia","Cordia parvifolia","COPA16",23794796847,738.9799805,4.169999599,"native"
"893","Cuscuta dentatasquamata","Cuscuta dentatasquamata","CUDE3",23794796847,738.9799805,4.169999599,"native"
"894","Cuscuta erosa","Cuscuta erosa","CUER",23794796847,738.9799805,4.169999599,"native"
"895","Cyperus hermaphroditus","Cyperus hermaphroditus","CYHE2",23794796847,738.9799805,4.169999599,"native"
"896","Desmanthus covillei","Desmanthus covillei","DECO4",23794796847,738.9799805,4.169999599,"native"
"897","Desmodium scopulorum","Desmodium scopulorum","DESC3",23794796847,738.9799805,4.169999599,"native"
"898","Eryngium sparganophyllum","Eryngium sparganophyllum","ERSP10",23794796847,738.9799805,4.169999599,"native"
"899","Jatropha cinerea","Jatropha cinerea","JACI",23794796847,738.9799805,4.169999599,"native"
"900","Lysiloma watsonii","Lysiloma watsonii","LYWA",23794796847,738.9799805,4.169999599,"native"
"901","Matelea cordifolia","Polystemma cordifolium","MACO27",23794796847,738.9799805,4.169999599,"native"
"902","Mimosa distachya","Mimosa distachya","MIDI12",23794796847,738.9799805,4.169999599,"native"
"903","Nissolia schottii","Nissolia schottii","NISC",23794796847,738.9799805,4.169999599,"native"
"904","Opuntia gosseliniana","Opuntia gosseliniana","OPGO",23794796847,738.9799805,4.169999599,"native"
"905","Perityle ajoensis","Perityle ajoensis","PEAJ",23794796847,738.9799805,4.169999599,"native"
"906","Peniocereus striatus","Peniocereus striatus","PEST11",23794796847,738.9799805,4.169999599,"native"
"907","Philadelphus maculatus","Philadelphus maculatus","PHMA7",23794796847,738.9799805,4.169999599,"native"
"908","Pisonia capitata","Pisonia capitata","PICA14",23794796847,738.9799805,4.169999599,"native"
"909","Sairocarpus watsonii","Sairocarpus watsonii","SAWA2",23794796847,738.9799805,4.169999599,"native"
"910","Setaria arizonica","Setaria arizonica","SEAR7",23794796847,738.9799805,4.169999599,"native"
"911","Setariopsis auriculata","Setariopsis auriculata","SEAU4",23794796847,738.9799805,4.169999599,"native"
"912","Solanum hindsianum","Solanum hindsianum","SOHI4",23794796847,738.9799805,4.169999599,"native"
"913","Streptanthus lemmonii","Streptanthus lemmonii","STLE8",23794796847,738.9799805,4.169999599,"native"
"914","Thymophylla concinna","Thymophylla concinna","THCO10",23794796847,738.9799805,4.169999599,"native"
"915","Ipomoea capillacea","Ipomoea capillacea","IPCA2",1.34e+11,953.6300049,7.259999633,"native"
"916","Trifolium pinetorum","Trifolium wormskioldii var. longicaule","TRPI3",2.06e+11,1085.469971,7.259999633,"native"
"917","Vicia pulchella","Vicia pulchella","VIPU2",3.38e+11,1092.069977,7.259999633,"native"
"918","Cirsium rydbergii","Cirsium rydbergii","CIRY",1.15e+11,1034.010048,7.460000396,"native"
"919","Nama retrorsum","Nama retrorsa","NARE",2.06e+11,1093.809975,7.460000396,"native"
"920","Arabis schistacea","Boechera schistacea","ARSC2",71309469746,720.4999771,5.080000401,"native"
"921","Hymenopappus mexicanus","Hymenopappus mexicanus","HYME",2.68e+11,1032.27005,7.259999633,"native"
"922","Boerhavia anisophylla","Boerhavia anisophylla","BOAN",37838532812,305.5200195,1.079999447,"native"
"923","Chamaesyce golondrina","Euphorbia golondrina","CHGO3",37838532812,305.5200195,1.079999447,"native"
"924","Lupinus havardii","Lupinus havardii","LUHA",37838532812,305.5200195,1.079999447,"native"
"925","Nicolletia edwardsii","Nicolletia edwardsii","NIED",37838532812,305.5200195,1.079999447,"native"
"926","Psathyrotopsis scaposa","Psathyrotopsis scaposa","PSSC14",37838532812,305.5200195,1.079999447,"native"
"927","Pseudoclappia watsonii","Pseudoclappia watsonii","PSWA3",37838532812,305.5200195,1.079999447,"native"
"928","Rosa stellata","Rosa stellata","ROST",1.56e+11,977.6300125,7.259999633,"native"
"929","Astragalus zionis","Astragalus zionis","ASZI",1.62e+11,1034.010048,7.460000396,"native"
"930","Psoralidium junceum","Ladeania juncea","PSJU2",92212760824,961.9700089,7.460000396,"native"
"931","Helianthus laciniatus","Helianthus laciniatus","HELA8",32615966978,494.019989,3.679999828,"native"
"932","Podistera nevadensis","Podistera nevadensis","PONE4",75583721819,1899.540024,5.719999552,"native"
"933","Penstemon deaveri","Penstemon deaveri","PEDE11",90643036157,1018.550049,7.259999633,"native"
"934","Sisyrinchium arizonicum","Sisyrinchium arizonicum","SIAR3",1.33e+11,1025.670044,7.259999633,"native"
"935","Shepherdia rotundifolia","Shepherdia rotundifolia","SHRO",2.2e+11,1049.670052,7.460000396,"native"
"936","Astragalus johannis-howellii","Astragalus johannis-howellii","ASJO",17616653681,1588.849998,4.240000248,"native"
"937","Senecio pattersonensis","Senecio pattersonensis","SEPA3",17616653681,1588.849998,4.240000248,"native"
"938","Mentzelia perennis","Mentzelia perennis","MEPE6",83005305921,798.3600159,5.309999943,"native"
"939","Heterotheca jonesii","Heterotheca jonesii","HEJO",30024522216,682.3100281,7.460000396,"native"
"940","Penstemon ammophilus","Penstemon ammophilus","PEAM5",30024522216,682.3100281,7.460000396,"native"
"941","Physaria lepidota","Physaria lepidota","PHLE10",30024522216,682.3100281,7.460000396,"native"
"942","Ranunculus oreogenes","Ranunculus glaberrimus var. ellipticus","RAOR",1e+11,1093.809975,7.460000396,"native"
"943","Atriplex garrettii","Atriplex garrettii","ATGA2",1.08e+11,961.9700089,7.460000396,"native"
"944","Penstemon leiophyllus","Penstemon leiophyllus","PELE7",1.57e+11,865.6499939,7.460000396,"native"
"945","Phacelia howelliana","Phacelia howelliana","PHHO2",90910920726,1034.010048,7.179999709,"native"
"946","Erigeron versicolor","Erigeron versicolor","ERVE13",85978546150,1018.550049,7.179999709,"native"
"947","Astragalus wittmannii","Astragalus wittmannii","ASWI3",20227036082,840.7599792,3.809999466,"native"
"948","Cleomella brevipes","Cleomella brevipes","CLBR2",1.45e+11,1774.089966,5.080000401,"native"
"949","Cymopterus aboriginum","Cymopterus aboriginum","CYAB",1.17e+11,1662,5.080000401,"native"
"950","Astragalus giganteus","Astragalus giganteus","ASGI2",87081219854,784.7200165,5.309999943,"native"
"951","Cymopterus jonesii","Cymopterus jonesii","CYJO",1.34e+11,977.6300125,7.360000014,"native"
"952","Euphorbia telephioides","Euphorbia telephioides","EUTE6",4809848075,149.1600342,2.720000267,"native"
"953","Potentilla subviscosa","Potentilla subviscosa","POSU6",2.16e+11,1109.469978,7.259999633,"native"
"954","Lesquerella pinetorum","Physaria pinetorum","LEPI3",57540632602,784.7200165,5.309999943,"native"
"955","Physaria newberryi","Physaria newberryi","PHNE5",3.47e+11,1128.439972,7.460000396,"native"
"956","Phlox griseola","Phlox griseola","PHGR10",1.97e+11,974.0299377,5.82000041,"native"
"957","Monardella follettii","Monardella follettii","MOFO3",9092988232,2574.399963,2.829999924,"native"
"958","Perityle cinerea","Perityle cinerea","PECI9",31569155429,287.5700073,1.019999504,"native"
"959","Acaciella suffrutescens","Acaciella angustissima var. angustissima","ACSU12",1.79e+11,1032.27005,7.259999633,"native"
"960","Brazoria enquistii","Brazoria enquistii","BREN",7399991814,183.7799683,1.430000305,"native"
"961","Penstemon arenarius","Penstemon arenarius","PEAR3",69580882259,574.9599991,5.080000401,"native"
"962","Erigeron acomanus","Erigeron acomanus","ERAC7",28638552583,727.2200012,4.400000095,"native"
"963","Castilleja austromontana","Castilleja nelsonii","CAAU5",1.86e+11,1025.670044,7.259999633,"native"
"964","Anulocaulis leiosolenus","Anulocaulis leiosolenus","ANLE5",2.27e+11,996.6000061,7.259999633,"native"
"965","Peganum mexicanum","Peganum mexicanum","PEME",33960710783,305.5200195,1.079999447,"native"
"966","Castilleja genevievana","Castilleja genevievana","CAGE6",30969084284,275.1600342,0.959999561,"native"
"967","Harperocallis flava","Harperocallis flava","HAFL3",3576007479,206.460083,2.720000267,"native"
"968","Cirsium grahamii","Cirsium grahamii","CIGR2",1.14e+11,1025.670044,7.259999633,"native"
"969","Plagiobothrys parishii","Plagiobothrys parishii","PLPA",96730914293,1662,4.559999466,"native"
"970","Yucca baileyi","Yucca baileyi","YUBA2",2.35e+11,1093.809975,7.460000396,"native"
"971","Agave glomeruliflora","Agave x glomeruliflora","AGGL2",37726914932,391.75,1.079999447,"native"
"972","Lycium texanum","Lycium texanum","LYTE4",37726914932,391.75,1.079999447,"native"
"973","Cryptantha capitata","Oreocarya capitata","CRCA13",98586772325,961.9700089,7.460000396,"native"
"974","Hackelia hirsuta","Hackelia hirsuta","HAHI2",62673542943,996.6199799,4.549999952,"native"
"975","Muhlenbergia sinuosa","Muhlenbergia sinuosa","MUSI",2.67e+11,1025.670044,7.259999633,"native"
"976","Scrophularia macrantha","Scrophularia macrantha","SCMA7",28768621242,562.6800232,3.089999676,"native"
"977","Delphinium scopulorum","Delphinium scopulorum","DESC2",1.44e+11,996.5399475,7.259999633,"native"
"978","Viguiera cordifolia","Aldama cordifolia","VICO",2.16e+11,996.5399475,7.259999633,"native"
"979","Rumex orthoneurus","Rumex orthoneurus","RUOR3",1.4e+11,1025.670044,7.259999633,"native"
"980","Penstemon inflatus","Penstemon inflatus","PEIN9",55116558004,996.6199799,5.309999943,"native"
"981","Astragalus moencoppensis","Astragalus moencoppensis","ASMO4",1.45e+11,961.9700089,7.460000396,"native"
"982","Hesperodoria scopulorum","Chrysothamnus scopulorum","HESC15",1.74e+11,977.6300125,7.460000396,"native"
