"","Name_submitted","Accepted_name","Accepted.Symbol","Range_Size","Precip","pH","Status"
"154","Phacelia buell-vivariensis","Phacelia buell-vivariensis","PHBU5",29001320728,1018.550049,7.179999709,"native"
"155","Arctostaphylos nissenana","Arctostaphylos nissenana","ARNI4",10175369840,1394.890045,3.549999952,"native"
"156","Adenophyllum wrightii","Adenophyllum wrightii","ADWR",39260748819,1018.550049,7.179999709,"native"
"157","Allium tuolumnense","Allium tuolumnense","ALTU",5752079372,1341.980011,3.450000048,"native"
"158","Erythronium taylorii","Erythronium taylorii","ERTA4",5752079372,1341.980011,3.450000048,"native"
"159","Erythronium tuolumnense","Erythronium tuolumnense","ERTU",5752079372,1341.980011,3.450000048,"native"
"160","Verbena californica","Verbena californica","VECA9",5752079372,1341.980011,3.450000048,"native"
"161","Allium yosemitense","Allium yosemitense","ALYO",9504551521,1392.059998,3.779999971,"native"
"162","Lomatium congdonii","Lomatium congdonii","LOCO3",9504551521,1392.059998,3.779999971,"native"
"163","Lupinus spectabilis","Lupinus spectabilis","LUSP3",9504551521,1392.059998,3.779999971,"native"
"164","Mimulus biolettii","Erythranthe filicaulis","MIBI7",9504551521,1392.059998,3.779999971,"native"
"165","Mimulus filicaulis","Erythranthe filicaulis","MIFI",9504551521,1392.059998,3.779999971,"native"
"166","Triteleia lemmoniae","Triteleia lemmoniae","TRLE4",1.11e+11,1025.670044,7.179999709,"native"
"167","Clarkia lingulata","Clarkia lingulata","CLLI",3752472149,1249.419983,3.779999971,"native"
"168","Eriophyllum congdonii","Eriophyllum congdonii","ERCO16",3752472149,1249.419983,3.779999971,"native"
"169","Erigeron mariposanus","Erigeron mariposanus","ERMA15",3752472149,1249.419983,3.779999971,"native"
"170","Platanthera yosemitensis","Platanthera yosemitensis","PLYO2",3752472149,1249.419983,3.779999971,"native"
"171","Streptanthus batrachopus","Streptanthus batrachopus","STBA4",3752472149,1249.419983,3.779999971,"native"
"172","Amsonia peeblesii","Amsonia peeblesii","AMPE",1.03e+11,1032.27005,7.179999709,"native"
"173","Astragalus xiphoides","Astragalus xiphoides","ASXI",1.03e+11,1032.27005,7.179999709,"native"
"174","Chrysothamnus molestus","Chrysothamnus molestus","CHMO2",1.03e+11,1032.27005,7.179999709,"native"
"175","Cirsium chellyense","Cirsium chellyense","CICH2",1.03e+11,1032.27005,7.179999709,"native"
"176","Cymopterus megacephalus","Cymopterus megacephalus","CYME",1.03e+11,1032.27005,7.179999709,"native"
"177","Delphinium geraniifolium","Delphinium geraniifolium","DEGE",1.03e+11,1032.27005,7.179999709,"native"
"178","Hymenopappus radiatus","Hymenopappus radiatus","HYRA2",1.03e+11,1032.27005,7.179999709,"native"
"179","Brickellia chenopodina","Brickellia chenopodina","BRCH",10259428091,463.8500366,3.089999676,"native"
"180","Sicyos parviflorus","Sicyos parviflorus","SIPA",10259428091,463.8500366,3.089999676,"native"
"181","Stevia salicifolia","Stevia salicifolia","STSA",10259428091,463.8500366,3.089999676,"native"
"182","Oxalis caerulea","Oxalis caerulea","OXCA5",98263260193,1025.670044,7.179999709,"native"
"183","Crataegus wootoniana","Crataegus wootoniana","CRWO",40705515230,882.1299438,3.819999695,"native"
"184","Mertensia macdougalii","Mertensia macdougalii","MEMA2",81585092192,953.6300049,6.910000205,"native"
"185","Fraxinus greggii","Fraxinus greggii","FRGR2",53259597945,758.1800079,4.669999599,"native"
"186","Hymenoxys bigelovii","Hymenoxys bigelovii","HYBI2",1.62e+11,1032.27005,7.179999709,"native"
"187","Errazurizia rotundata","Errazurizia rotundata","ERRO7",73992237310,960.230011,7.179999709,"native"
"188","Hymenoxys jamesii","Hymenoxys jamesii","HYJA",73992237310,960.230011,7.179999709,"native"
"189","Erigeron sivinskii","Erigeron sivinskii","ERSI9",80647113319,1032.27005,7.179999709,"native"
"190","Cyperus spectabilis","Cyperus acutiusculus","CYSP2",37407808068,697.2700195,4.049999714,"native"
"191","Argemone arizonica","Argemone arizonica","ARAR4",69261939465,953.6300049,6.910000205,"native"
"192","Astragalus rusbyi","Astragalus rusbyi","ASRU4",69261939465,953.6300049,6.910000205,"native"
"193","Erigeron saxatilis","Erigeron saxatilis","ERSA18",69261939465,953.6300049,6.910000205,"native"
"194","Ivesia multifoliolata","Potentilla multifoliolata","IVMU2",69261939465,953.6300049,6.910000205,"native"
"195","Pellaea lyngholmii","Hemionitis lyngholmii","PELY3",69261939465,953.6300049,6.910000205,"native"
"196","Phemeranthus validulus","Phemeranthus validulus","PHVA8",69261939465,953.6300049,6.910000205,"native"
"197","Perityle rupestris","Perityle rupestris","PERU3",37973334948,407.0299683,2.229999542,"native"
"198","Bonamia repens","Bonamia repens","BORE9",40253026382,339.4000244,1.019999504,"native"
"199","Nama havardii","Nama havardii","NAHA",40253026382,339.4000244,1.019999504,"native"
"200","Omphalodes aliena","Mimophytum alienum","OMAL",40253026382,339.4000244,1.019999504,"native"
"201","Tiquilia mexicana","Tiquilia mexicana","TIME",40253026382,339.4000244,1.019999504,"native"
"202","Tradescantia brevifolia","Tradescantia brevifolia","TRBR6",40010963203,407.0299683,2.229999542,"native"
"203","Senna orcuttii","Senna orcuttii","SEOR5",39249562051,758.1800079,4.669999599,"native"
"204","Asclepias welshii","Asclepias welshii","ASWE3",1.13e+11,1032.27005,7.460000396,"native"
"205","Kallstroemia perennans","Kallstroemia perennans","KAPE",34145790973,339.4000244,1.019999504,"native"
"206","Perityle aglossa","Perityle aglossa","PEAG",32108162718,287.5700073,1.019999504,"native"
"207","Helianthus neglectus","Helianthus neglectus","HENE",8400627547,107.210022,0.959999561,"native"
"208","Bahia bigelovii","Picradeniopsis bigelovii","BABI2",31866099539,407.0299683,2.229999542,"native"
"209","Brickellia conduplicata","Brickellia lemmonii var. conduplicata","BRCO7",31866099539,407.0299683,2.229999542,"native"
"210","Castilleja mexicana","Castilleja mexicana","CAME17",31866099539,407.0299683,2.229999542,"native"
"211","Cyclanthera stenura","Cyclanthera stenura","CYST10",31866099539,407.0299683,2.229999542,"native"
"212","Drymaria laxiflora","Drymaria laxiflora","DRLA4",31866099539,407.0299683,2.229999542,"native"
"213","Echeveria strictiflora","Echeveria strictiflora","ECST",31866099539,407.0299683,2.229999542,"native"
"214","Escobaria tuberculosa","Pelecyphora tuberculosa","ESTUV",31866099539,1027.319977,5.339999676,"native"
"215","Escobaria tuberculosa","Pelecyphora tuberculosa","ESTU",1.68e+11,1027.319977,5.339999676,"native"
"216","Hedeoma mollis","Hedeoma mollis","HEMO",31866099539,407.0299683,2.229999542,"native"
"217","Lepidium sordidum","Lepidium sordidum","LESO",31866099539,407.0299683,2.229999542,"native"
"218","Mandevilla hypoleuca","Mandevilla hypoleuca","MAHY5",31866099539,407.0299683,2.229999542,"native"
"219","Penstemon havardii","Penstemon havardii","PEHA2",31866099539,407.0299683,2.229999542,"native"
"220","Proboscidea spicata","Proboscidea spicata","PRSP3",31866099539,407.0299683,2.229999542,"native"
"221","Solanum davisense","Solanum davisense","SODA2",31866099539,407.0299683,2.229999542,"native"
"222","Stachys bigelovii","Stachys bigelovii","STBI",31866099539,407.0299683,2.229999542,"native"
"223","Tradescantia leiandra","Tradescantia leiandra","TRLE5",31866099539,407.0299683,2.229999542,"native"
"224","Muhlenbergia peruviana","Muhlenbergia peruviana","MUPE3",51705578881,1018.550049,7.259999633,"native"
"225","Sporobolus interruptus","Sporobolus interruptus","SPIN5",1.07e+11,960.230011,7.179999709,"native"
"226","Brickellia veronicifolia","Brickellia veronicifolia","BRVE2",33142326642,758.1800079,4.669999599,"native"
"227","Cryptantha crassipes","Oreocarya crassipes","CRCR7",33142326642,758.1800079,4.669999599,"native"
"228","Grindelia scabra","Grindelia scabra","GRSC",55914284794,758.1800079,5.21999979,"native"
"229","Muhlenbergia curtifolia","Muhlenbergia curtifolia","MUCU",1.08e+11,1068.640045,7.460000396,"native"
"230","Ipomoea dumetorum","Ipomoea dumetorum","IPDU",18377702291,730.0100098,2.960000515,"native"
"231","Anulocaulis eriosolenus","Anulocaulis eriosolenus","ANER",26000927309,287.5700073,1.019999504,"native"
"232","Buddleja marrubiifolia","Buddleja marrubiifolia","BUMA",26000927309,287.5700073,1.019999504,"native"
"233","Calliandra iselyi","Calliandra iselyi","CAIS2",26000927309,287.5700073,1.019999504,"native"
"234","Chamaesyce theriaca","Euphorbia theriaca","CHTH6",26000927309,287.5700073,1.019999504,"native"
"235","Croton sancti-lazari","Croton sancti-lazari","CRSA5",26000927309,287.5700073,1.019999504,"native"
"236","Echinomastus mariposensis","Sclerocactus mariposensis","ECMA2",26000927309,287.5700073,1.019999504,"native"
"237","Epithelantha bokei","Epithelantha bokei","EPBO",26000927309,287.5700073,1.019999504,"native"
"238","Eriogonum hemipterum","Eriogonum hemipterum","ERHE8",26000927309,287.5700073,1.019999504,"native"
"239","Fendlera rigida","Fendlera linearis","FERI2",26000927309,287.5700073,1.019999504,"native"
"240","Funastrum torreyi","Funastrum torreyi","FUTO2",26000927309,287.5700073,1.019999504,"native"
"241","Heliotropium molle","Heliotropium molle","HEMO4",26000927309,287.5700073,1.019999504,"native"
"242","Hechtia texensis","Hechtia texensis","HETE7",26000927309,287.5700073,1.019999504,"native"
"243","Holacantha stewartii","Castela stewartii","HOST2",26000927309,287.5700073,1.019999504,"native"
"244","Ipomopsis havardii","Dayia havardii","IPHA",26000927309,287.5700073,1.019999504,"native"
"245","Iresine leptoclada","Iresine leptoclada","IRLE",26000927309,287.5700073,1.019999504,"native"
"246","Malacomeles denticulata","Malacomeles denticulata","MADE5",26000927309,287.5700073,1.019999504,"native"
"247","Mammillaria pottsii","Mammillaria pottsii","MAPO3",26000927309,287.5700073,1.019999504,"native"
"248","Mentzelia pachyrhiza","Mentzelia pachyrhiza","MEPA4",26000927309,287.5700073,1.019999504,"native"
"249","Nama torynophyllum","Nama torynophylla","NATO",26000927309,287.5700073,1.019999504,"native"
"250","Notholaena greggii","Hemionitis greggii","NOGR2",26000927309,287.5700073,1.019999504,"native"
"251","Oenothera boquillensis","Oenothera boquillensis","OEBO",26000927309,287.5700073,1.019999504,"native"
"252","Oenothera havardii","Oenothera havardii","OEHA2",26000927309,287.5700073,1.019999504,"native"
"253","Palafoxia riograndensis","Palafoxia riograndensis","PARI",26000927309,287.5700073,1.019999504,"native"
"254","Perityle dissecta","Perityle dissecta","PEDI2",26000927309,287.5700073,1.019999504,"native"
"255","Perityle parryi","Perityle parryi","PEPA12",26000927309,287.5700073,1.019999504,"native"
"256","Perityle vaseyi","Perityle vaseyi","PEVA",26000927309,287.5700073,1.019999504,"native"
"257","Phyllanthopsis arida","Phyllanthopsis arida","PHAR6",26000927309,287.5700073,1.019999504,"native"
"258","Phacelia infundibuliformis","Phacelia infundibuliformis","PHIN12",26000927309,287.5700073,1.019999504,"native"
"259","Phacelia robusta","Phacelia robusta","PHRO",26000927309,287.5700073,1.019999504,"native"
"260","Poliomintha glabrescens","Poliomintha glabrescens","POGL4",26000927309,287.5700073,1.019999504,"native"
"261","Polygala nudata","Rhinotropis nudata","PONU5",26000927309,287.5700073,1.019999504,"native"
"262","Purshia ericifolia","Purshia ericifolia","PUER2",26000927309,287.5700073,1.019999504,"native"
"263","Quercus hinckleyi","Quercus hinckleyi","QUHI",26000927309,287.5700073,1.019999504,"native"
"264","Selinocarpus angustifolius","Acleisanthes angustifolia","SEAN",26000927309,287.5700073,1.019999504,"native"
"265","Senna pilosior","Senna pilosior","SEPI3",26000927309,287.5700073,1.019999504,"native"
