"","Name_submitted","Accepted_name","Family","Order","HybProp","Hyb_Ratio","perc_per","perc_wood","perc_ag","floral_symm","mating_system","repro_syndrome","pollination_syndrome","RedList","tavg","C_value","CV_C_value"
"730","Globularia","Globularia","Plantaginaceae","Lamiales",0.952380952,0.066666667,"1","0.4",0.005925926,".","1","0.666666667","1",".",".","0.615","44.84091783"
"731","Glossodia","Caladenia","Orchidaceae","Asparagales",200,1,"1","0",0,".",".",".",".",".",".",".","."
"732","Glossopetalon","Glossopetalon","Crossosomataceae","Crossosomatales",0,0,"1","1",0,".",".",".",".",".",".",".","."
"733","Glossostigma","Glossostigma","Phrymaceae","Lamiales",0,0,"0.5","0",0,".",".",".",".",".",".",".","."
"734","Glyceria","Glyceria","Poaceae","Poales",0.332225914,0.069767442,"0.988636364","0",0.074314214,".","1","0.357142857","0",".",".","3.93","79.16717143"
"735","Glycine","Glycine","Fabaceae","Fabales",0,0,"1","0",0.096494845,".",".",".","1",".","0.246","1.364705882","15.97430407"
"736","Glycyrrhiza","Glycyrrhiza","Fabaceae","Fabales",0,0,"1","0",0.096494845,".",".",".",".",".",".",".","."
"737","Glyptopleura","Glyptopleura","Asteraceae","Asterales",0,0,"0","0",0.00210989,".",".",".",".",".",".",".","."
"738","Gnaphalium","Gnaphalium","Asteraceae","Asterales",0,0,"0.269230769","0",0.00210989,".","1","0.6","0.681818182","2.5",".",".","."
"739","Gnephosis","Gnephosis","Asteraceae","Asterales",0,0,"0","0",0.00210989,".",".",".","1",".",".",".","."
"740","Gomphocarpus","Gomphocarpus","Apocynaceae","Gentianales",0,0,"1","1",0.000658617,"0",".",".",".",".",".",".","."
"741","Gompholobium","Gompholobium","Fabaceae","Fabales",0,0,"1","1",0.096494845,".",".",".",".",".",".",".","."
"742","Gomphrena","Gomphrena","Amaranthaceae","Caryophyllales",0,0,"0.25","0",0.041463415,".",".",".","1",".",".",".","."
"743","Goniolimon","Goniolimon","Plumbaginaceae","Caryophyllales",0,0,"1","0",0.001196172,".",".",".",".",".",".",".","."
"744","Gonocarpus","Gonocarpus","Haloragaceae","Saxifragales",7.142857143,0.25,"1","0",0,".",".",".",".",".",".",".","."
"745","Goodenia","Goodenia","Goodeniaceae","Asterales",0,0,"0.92","0.08",0,".",".",".","1",".",".","0.52","."
"746","Goodia","Goodia","Fabaceae","Fabales",0,0,"1","1",0.096494845,".",".",".",".",".",".",".","."
"747","Goodyera","Goodyera","Orchidaceae","Asparagales",0,0,"1","0",0,".","1","0.5","1",".",".","4.85","."
"748","Gossypium","Gossypium","Malvaceae","Malvales",0,0,"0.4","0.8",0.006153846,"0",".",".",".",".",".","1.939529412","32.3800476"
"749","Gouania","Gouania","Rhamnaceae","Rosales",0,0,"1","1",0.004444444,".",".",".","1","4",".",".","."
"750","Grammitis","Grammitis","Polypodiaceae","Monilophyta",2.380952381,0.071428571,"1","0",0,".",".",".",".","3",".",".","."
"751","Gratiola","Gratiola","Plantaginaceae","Lamiales",0.584795322,0.052631579,"0.529411765","0",0.005925926,".","1","0.5","1",".",".",".","."
"752","Grayia","Grayia","Amaranthaceae","Caryophyllales",0,0,"0","0",0.041463415,".",".",".",".",".",".",".","."
"753","Grevillea","Grevillea","Proteaceae","Proteales",0.853485064,0.157894737,"1","1",0.000625,"0",".",".","1",".","0.253","0.83","."
