"","Name_submitted","Accepted_name","Group","Order","Family","Genus","Orignal_Name","Seed_Dispersal_Category","Seed_Dispersal_Orignal_Discription","Seed_Dispersal_Data_Source"
"1","Illicium floridanum","Illicium floridanum","ANA","Austrobaileyales","Schisandraceae","Illicium","Illicium floridanum","Zoochory","animal","Cold Tolerance, Seed Size and Height of North American Forest Tree Species"
"2","Illicium jiadifengpi","Illicium jiadifengpi","ANA","Austrobaileyales","Schisandraceae","Illicium","Illicium jiadifengpi","Autochory","Autochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"3","Illicium lanceolatum","Illicium lanceolatum","ANA","Austrobaileyales","Schisandraceae","Illicium","Illicium lanceolatum","Autochory","Autochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"4","Illicium macranthum","Illicium macranthum","ANA","Austrobaileyales","Schisandraceae","Illicium","Illicium macranthum","Autochory","Autochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"5","Illicium parviflorum","Illicium parviflorum","ANA","Austrobaileyales","Schisandraceae","Illicium","Illicium parviflorum","Zoochory","animal","Cold Tolerance, Seed Size and Height of North American Forest Tree Species"
"6","Illicium simonsii","Illicium simonsii","ANA","Austrobaileyales","Schisandraceae","Illicium","Illicium simonsii","Autochory","Autochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"7","Kadsura coccinea","Kadsura coccinea","ANA","Austrobaileyales","Schisandraceae","Kadsura","Kadsura coccinea","Autochory","Autochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"8","Kadsura longepedunculata","Kadsura longepedunculata","ANA","Austrobaileyales","Schisandraceae","Kadsura","Kadsura longipedunculata","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"9","Schisandra chinensis","Schisandra chinensis","ANA","Austrobaileyales","Schisandraceae","Schisandra","Schisandra chinensis","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"10","Schisandra henryi","Schisandra henryi","ANA","Austrobaileyales","Schisandraceae","Schisandra","Schisandra henryi","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"11","Schisandra sphenanthera","Schisandra sphenanthera","ANA","Austrobaileyales","Schisandraceae","Schisandra","Schisandra sphenanthera","Zoochory","Endo","Disentangling ecological, allometric and evolutionary determinants of the relationship between seed mass and elevation: insights from multiple analyses of 1355 angiosperm species on the eastern Tibetan Plateau"
"12","Brasenia schreberi","Brasenia schreberi","ANA","Nymphaeales","Cabombaceae","Brasenia","Brasenia schreberi","Zoochory","epizoochory","AusTraits, a curated plant trait database for the Australian flora"
"13","Trithuria submersa","Trithuria submersa","ANA","Nymphaeales","Hydatellaceae","Trithuria","Trithuria submersa","Zoochory","epizoochory","AusTraits, a curated plant trait database for the Australian flora"
"14","Nuphar advena","Nuphar advena","ANA","Nymphaeales","Nymphaeaceae","Nuphar","Nuphar advena","Zoochory","endozoochor","The LEDA Traitbase"
"15","Nuphar lutea","Nuphar lutea","ANA","Nymphaeales","Nymphaeaceae","Nuphar","Nuphar lutea","Zoochory","eaten by birds","Ecological Flora of the British Isles"
"16","Nuphar pumila","Nuphar pumila","ANA","Nymphaeales","Nymphaeaceae","Nuphar","Nuphar pumila","Hydrochory","Hydrochory","Seed dispersal distance classes and dispersal modes for the European flora"
"17","Nymphaea alba","Nymphaea alba","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea alba","Zoochory","eaten by birds","Ecological Flora of the British Isles"
"18","Nymphaea amazonum","Nymphaea amazonum","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea amazonum","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"19","Nymphaea candida","Nymphaea candida","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea candida","Zoochory","endozoochor","The LEDA Traitbase"
"20","Nymphaea gardneriana","Nymphaea gardneriana","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea gardneriana","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"21","Nymphaea gigantea","Nymphaea gigantea","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea gigantea","Zoochory","epizoochory","AusTraits, a curated plant trait database for the Australian flora"
"22","Nymphaea glandulifera","Nymphaea glandulifera","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea glandulifera","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"23","Nymphaea jamesoniana","Nymphaea jamesoniana","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea jamesoniana","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"24","Nymphaea lingulata","Nymphaea lingulata","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea lingulata","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"25","Nymphaea nouchali","Nymphaea nouchali","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea nouchali","Hydrochory","Water","KEW Seed Information Database (SID)"
"26","Nymphaea oxypetala","Nymphaea oxypetala","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea oxypetala","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"27","Nymphaea prolifera","Nymphaea prolifera","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea prolifera","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"28","Nymphaea pulchella","Nymphaea pulchella","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea pulchella","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"29","Nymphaea rudgeana","Nymphaea rudgeana","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea rudgeana","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"30","Nymphaea tenerinervia","Nymphaea tenerinervia","ANA","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea tenerinervia","Autochory","autochor","Species able to reproduce after fire in a Brazilian Savanna"
"31","Canella winterana","Canella winterana","Magnoliidae","Canellales","Canellaceae","Canella","Canella winterana","Zoochory","animal","Cold Tolerance, Seed Size and Height of North American Forest Tree Species"
"32","Warburgia stuhlmannii","Warburgia stuhlmannii","Magnoliidae","Canellales","Canellaceae","Warburgia","Warburgia stuhlmannii","Zoochory","Animal","KEW Seed Information Database (SID)"
"33","Tasmannia lanceolata","Tasmannia lanceolata","Magnoliidae","Canellales","Winteraceae","Drimys","Drimys aromatica","Zoochory","bird","Australian Fire Ecology Database"
"34","Drimys brasiliensis","Drimys brasiliensis","Magnoliidae","Canellales","Winteraceae","Drimys","Drimys brasiliensis","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"35","Tasmannia insipida","Tasmannia insipida","Magnoliidae","Canellales","Winteraceae","Drimys","Tasmannia insipida","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"36","Drimys winteri","Drimys winteri","Magnoliidae","Canellales","Winteraceae","Drimys","Drimys winteri","Zoochory","Animal","KEW Seed Information Database (SID)"
"37","Tasmannia vickeriana","Tasmannia vickeriana","Magnoliidae","Canellales","Winteraceae","Tasmannia","Tasmannia vickeriana","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"38","Tasmannia xerophila","Tasmannia xerophila","Magnoliidae","Canellales","Winteraceae","Tasmannia","Tasmannia xerophila","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"39","Atherosperma moschatum","Atherosperma moschatum","Magnoliidae","Laurales","Atherospermataceae","Atherosperma","Atherosperma moschatum ssp. integrifolium","Anemochory","anemochory","AusTraits, a curated plant trait database for the Australian flora"
"40","Doryphora sassafras","Doryphora sassafras","Magnoliidae","Laurales","Atherospermataceae","Doryphora","Doryphora sassafras","Anemochory","anemochory","AusTraits, a curated plant trait database for the Australian flora"
"41","Chimonanthus nitens","Chimonanthus nitens","Magnoliidae","Laurales","Calycanthaceae","Chimonanthus","Chimonanthus nitens var. salicifolius","Autochory","Autochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"42","Hernandia guianensis","Hernandia guianensis","Magnoliidae","Laurales","Hernandiaceae","Hernandia","Hernandia guianensis","Hydrochory","Water","KEW Seed Information Database (SID)"
"43","Hernandia nymphaeifolia","Hernandia nymphaeifolia","Magnoliidae","Laurales","Hernandiaceae","Hernandia","Hernandia nymphaeifolia","Hydrochory","Water","KEW Seed Information Database (SID)"
"44","Illigera pentaphylla","Illigera pentaphylla","Magnoliidae","Laurales","Hernandiaceae","Illigera","Illigera pentaphylla","Anemochory","Wind","KEW Seed Information Database (SID)"
"45","Sparattanthelium amazonum","Sparattanthelium amazonum","Magnoliidae","Laurales","Hernandiaceae","Sparattanthelium","Sparattanthelium amazonum","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"46","Sparattanthelium borororum","Sparattanthelium borororum","Magnoliidae","Laurales","Hernandiaceae","Sparattanthelium","Sparattanthelium borororum","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"47","Sparattanthelium botocudorum","Sparattanthelium botocudorum","Magnoliidae","Laurales","Hernandiaceae","Sparattanthelium","Sparattanthelium botocudorum","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"48","Actinodaphne henryi","Actinodaphne henryi","Magnoliidae","Laurales","Lauraceae","Actinodaphne","Actinodaphne henryi","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"49","Actinodaphne obovata","Actinodaphne obovata","Magnoliidae","Laurales","Lauraceae","Actinodaphne","Actinodaphne obovata","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"50","Actinodaphne trichocarpa","Actinodaphne trichocarpa","Magnoliidae","Laurales","Lauraceae","Actinodaphne","Actinodaphne trichocarpa","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"51","Aiouea bracteata","Aiouea bracteata","Magnoliidae","Laurales","Lauraceae","Aiouea","Aiouea bracteata","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"52","Aiouea macedoana","Aiouea macedoana","Magnoliidae","Laurales","Lauraceae","Aiouea","Aiouea macedoana","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"53","Aiouea piauhyensis","Aiouea piauhyensis","Magnoliidae","Laurales","Lauraceae","Aiouea","Aiouea piauhyensis","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"54","Aiouea saligna","Aiouea saligna","Magnoliidae","Laurales","Lauraceae","Aiouea","Aiouea saligna","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"55","Aiouea tomentella","Aiouea tomentella","Magnoliidae","Laurales","Lauraceae","Aiouea","Aiouea tomentosa","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"56","Aiouea trinervis","Aiouea trinervis","Magnoliidae","Laurales","Lauraceae","Aiouea","Aiouea trinervis","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"57","Alseodaphnopsis petiolaris","Alseodaphnopsis petiolaris","Magnoliidae","Laurales","Lauraceae","Alseodaphne","Alseodaphne petiolaris","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"58","Aniba canellila","Aniba canellila","Magnoliidae","Laurales","Lauraceae","Aniba","Aniba canellila","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"59","Aniba desertorum","Aniba desertorum","Magnoliidae","Laurales","Lauraceae","Aniba","Aniba desertorum","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"60","Aniba firmula","Aniba firmula","Magnoliidae","Laurales","Lauraceae","Aniba","Aniba firmula","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"61","Aniba heringeri","Aniba heringeri","Magnoliidae","Laurales","Lauraceae","Aniba","Aniba heringeri","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"62","Aniba taubertiana","Aniba taubertiana","Magnoliidae","Laurales","Lauraceae","Aniba","Aiouea taubertiana","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"63","Beilschmiedia brachythyrsa","Beilschmiedia brachythyrsa","Magnoliidae","Laurales","Lauraceae","Beilschmiedia","Beilschmiedia brachythyrsa","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"64","Beilschmiedia fasciata","Beilschmiedia fasciata","Magnoliidae","Laurales","Lauraceae","Beilschmiedia","Beilschmiedia fasciata","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"65","Beilschmiedia fordii","Beilschmiedia fordii","Magnoliidae","Laurales","Lauraceae","Beilschmiedia","Beilschmiedia fordii","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"66","Beilschmiedia intermedia","Beilschmiedia intermedia","Magnoliidae","Laurales","Lauraceae","Beilschmiedia","Beilschmiedia intermedia","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"67","Beilschmiedia kweichowensis","Beilschmiedia kweichowensis","Magnoliidae","Laurales","Lauraceae","Beilschmiedia","Beilschmiedia kweichowensis","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"68","Beilschmiedia mexicana","Beilschmiedia mexicana","Magnoliidae","Laurales","Lauraceae","Beilschmiedia","Beilschmiedia mexicana","Zoochory","Animal","KEW Seed Information Database (SID)"
"69","Beilschmiedia obtusifolia","Beilschmiedia obtusifolia","Magnoliidae","Laurales","Lauraceae","Beilschmiedia","Beilschmiedia obtusifolia","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"70","Beilschmiedia ovoidea","Beilschmiedia ovoidea","Magnoliidae","Laurales","Lauraceae","Beilschmiedia","Beilschmiedia ovoidea","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"71","Beilschmiedia pendula","Beilschmiedia pendula","Magnoliidae","Laurales","Lauraceae","Beilschmiedia","Beilschmiedia pendula","Zoochory","Animal","KEW Seed Information Database (SID)"
"72","Beilschmiedia percoriacea","Beilschmiedia percoriacea","Magnoliidae","Laurales","Lauraceae","Beilschmiedia","Beilschmiedia percoriacea","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"73","Beilschmiedia purpurascens","Beilschmiedia purpurascens","Magnoliidae","Laurales","Lauraceae","Beilschmiedia","Beilschmiedia purpurascens","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"74","Beilschmiedia robusta","Beilschmiedia robusta","Magnoliidae","Laurales","Lauraceae","Beilschmiedia","Beilschmiedia robusta","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"75","Beilschmiedia roxburghiana","Beilschmiedia roxburghiana","Magnoliidae","Laurales","Lauraceae","Beilschmiedia","Beilschmiedia roxburghiana","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"76","Cassytha capillaris","Cassytha capillaris","Magnoliidae","Laurales","Lauraceae","Cassytha","Cassytha capillaris","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"77","Cassytha filiformis","Cassytha filiformis","Magnoliidae","Laurales","Lauraceae","Cassytha","Cassytha filiformis","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"78","Cassytha flindersii","Cassytha flindersii","Magnoliidae","Laurales","Lauraceae","Cassytha","Cassytha filndersii","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"79","Cassytha glabella","Cassytha glabella","Magnoliidae","Laurales","Lauraceae","Cassytha","Cassytha glabella","Zoochory","a-vertebrate","Australian Fire Ecology Database"
"80","Cassytha melantha","Cassytha melantha","Magnoliidae","Laurales","Lauraceae","Cassytha","Cassytha melantha","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"81","Cassytha pedicellosa","Cassytha pedicellosa","Magnoliidae","Laurales","Lauraceae","Cassytha","Cassytha pedicellosa","Zoochory","zoochory","AusTraits, a curated plant trait database for the Australian flora"
"82","Cassytha peninsularis","Cassytha peninsularis","Magnoliidae","Laurales","Lauraceae","Cassytha","Cassytha peninsularis","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"83","Cassytha pubescens","Cassytha pubescens","Magnoliidae","Laurales","Lauraceae","Cassytha","Cassytha pubescens","Zoochory","a-vertebrate","Australian Fire Ecology Database"
"84","Cassytha racemosa","Cassytha racemosa","Magnoliidae","Laurales","Lauraceae","Cassytha","Cassytha racemosa","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"85","Chlorocardium rodiei","Chlorocardium rodiei","Magnoliidae","Laurales","Lauraceae","Chlorocardium","Chlorocardium rodiei","Zoochory","Animal","KEW Seed Information Database (SID)"
"86","Cinnamomum austro-sinensis","Cinnamomum austro-sinensis","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum austrosinense","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"87","Cinnamomum bejolghota","Cinnamomum bejolghota","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum bejolghota","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"88","Cinnamomum burmanni","Cinnamomum burmanni","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum burmannii","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"89","Cinnamomum camphora","Cinnamomum camphora","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum camphora","Zoochory","Animal","KEW Seed Information Database (SID)"
"90","Cinnamomum chartophyllum","Cinnamomum chartophyllum","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum chartophyllum","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"91","Cinnamomum glanduliferum","Cinnamomum glanduliferum","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum glanduliferum","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"92","Cinnamomum iners","Cinnamomum iners","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum iners","Zoochory","Animal","KEW Seed Information Database (SID)"
"93","Cinnamomum micranthum","Cinnamomum micranthum","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum micranthum","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"94","Cinnamomum migao","Cinnamomum migao","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum migao","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"95","Aiouea neurophylla","Aiouea neurophylla","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Phoenix neurophylla","Zoochory","Animal","KEW Seed Information Database (SID)"
"96","Cinnamomum oliveri","Cinnamomum oliveri","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum oliveri","Zoochory","zoochory","AusTraits, a curated plant trait database for the Australian flora"
"97","Cinnamomum pittosporoides","Cinnamomum pittosporoides","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum pittosporoides","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"98","Cinnamomum parthenoxylon","Cinnamomum parthenoxylon","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum porrectum","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"99","Aiouea tetragona","Aiouea tetragona","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum quadrangulum","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"100","Cinnamomum subavenium","Cinnamomum subavenium","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum subavenium","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"101","Cinnamomum tamala","Cinnamomum tamala","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum tamala","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"102","Cinnamomum tenuipile","Cinnamomum tenuipile","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum tenuipile","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"103","Cinnamomum wilsonii","Cinnamomum wilsonii","Magnoliidae","Laurales","Lauraceae","Cinnamomum","Cinnamomum wilsonii","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"104","Cryptocarya acutifolia","Cryptocarya acutifolia","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya acutifolia","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"105","Cryptocarya aschersoniana","Cryptocarya aschersoniana","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya aschersoniana","Zoochory","Animal","Traits and ecological strategies of 66 subtropical tree species in the Brazilian Atlantic Forest"
"106","Cryptocarya brachythyrsa","Cryptocarya brachythyrsa","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya brachythyrsa","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"107","Cryptocarya chinensis","Cryptocarya chinensis","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya chinensis","Zoochory","Animal","KEW Seed Information Database (SID)"
"108","Cryptocarya chingii","Cryptocarya chingii","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya chingii","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"109","Cryptocarya clarksoniana","Cryptocarya clarksoniana","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya clarksoniana","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"110","Cryptocarya concinna","Cryptocarya concinna","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya concinna","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"111","Cryptocarya depauperata","Cryptocarya depauperata","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya depauperata","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"112","Cryptocarya foetida","Cryptocarya foetida","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya foetida","Zoochory","bird","Australian Fire Ecology Database"
"113","Cryptocarya glaucescens","Cryptocarya glaucescens","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya glaucescens","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"114","Cryptocarya hypospodia","Cryptocarya hypospodia","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya hypospodia","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"115","Cryptocarya laevigata","Cryptocarya laevigata","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya laevigata","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"116","Cryptocarya mackinnoniana","Cryptocarya mackinnoniana","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya mackinnoniana","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"117","Cryptocarya maculata","Cryptocarya maculata","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya maculata","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"118","Cryptocarya metcalfiana","Cryptocarya metcalfiana","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya metcalfiana","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"119","Cryptocarya microneura","Cryptocarya microneura","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya microneura","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"120","Cryptocarya moschata","Cryptocarya moschata","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya moschata","Zoochory","Animal","Traits and ecological strategies of 66 subtropical tree species in the Brazilian Atlantic Forest"
"121","Cryptocarya murrayi","Cryptocarya murrayi","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya murrayi","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"122","Cryptocarya vulgaris","Cryptocarya vulgaris","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya vulgaris","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"123","Cryptocarya yunnanensis","Cryptocarya yunnanensis","Magnoliidae","Laurales","Lauraceae","Cryptocarya","Cryptocarya yunnanensis","Zoochory","Zoochory","Stronger latitudinal phylogenetic patterns in woody angiosperm assemblages with higher dispersal abilities in China"
"124","Damburneya coriacea","Damburneya coriacea","Magnoliidae","Laurales","Lauraceae","Damburneya","Damburneya gentlei","Zoochory","Animal","KEW Seed Information Database (SID)"
"125","Endiandra cowleyana","Endiandra cowleyana","Magnoliidae","Laurales","Lauraceae","Endiandra","Endiandra cowleyana","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"126","Endiandra discolor","Endiandra discolor","Magnoliidae","Laurales","Lauraceae","Endiandra","Endiandra discolor","Zoochory","zoochory","AusTraits, a curated plant trait database for the Australian flora"
"127","Endiandra hayesii","Endiandra hayesii","Magnoliidae","Laurales","Lauraceae","Endiandra","Endiandra hayesii","Zoochory","bird","Australian Fire Ecology Database"
"128","Endiandra hypotephra","Endiandra hypotephra","Magnoliidae","Laurales","Lauraceae","Endiandra","Endiandra hypotephra","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"129","Endiandra sieberi","Endiandra sieberi","Magnoliidae","Laurales","Lauraceae","Endiandra","Endiandra sieberi","Zoochory","endozoochory","AusTraits, a curated plant trait database for the Australian flora"
"130","Endlicheria arunciflora","Endlicheria arunciflora","Magnoliidae","Laurales","Lauraceae","Endlicheria","Endlicheria arunciflora","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
"131","Endlicheria glomerata","Endlicheria glomerata","Magnoliidae","Laurales","Lauraceae","Endlicheria","Endlicheria glomerata","Zoochory","zoochor","Species able to reproduce after fire in a Brazilian Savanna"
