"","Name_submitted","Accepted_name","Family","Order","Superorder","Group (Dicot, Monocot, Gymnosperm, Fern)","Sample reference code","Life cycle habit (annual, biennial, perennial)","Plant growth habit (aquatic, forb, graminoid,  herbaceous vine, liana, shrub, tree)","Nearctic","Neotropic","Palearctic","Afrotropic","Indo-Malay","Australasia","Oceania","Number of Biogeographic Realms","Tropical and Subtropical Moist Broadleaf Forests","Tropical and Subtropical Dry Broadleaf Forests","Tropical and Subtropical Coniferous Forests","Temperate Broadleaf and Mixed Forests","Temperate Coniferous Forests","Boreal Forests/Taiga","Tropical and Subtropical Grasslands, Savannas, and Shrublands","Temperate Grasslands, Savannas, and Shrublands","Flooded Grasslands and Savannas","Montane Grasslands and Shrublands","Tundra","Mediterranean Forests, Woodlands, and Scrub","Deserts and Xeric Shrublands","Mangroves","Number of Biomes","C (%)","S (%)","R (%)","CSR","Colour values for SigmaPlot","Growth habit (grey shade)","Growth habit (colour)","Growth habit (symbol)"
"2653","Sparganium emersum Rehmann","Sparganium emersum","Typhaceae","Poales","Lilianae","Monocot","Cerabolini/Pierce","perennial","aquatic",1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,1,1,1,0,7,51.1384797778726,0,48.8615202221274,"CR","@rgb(130,0,125)","@rgb(192,192,192)","@rgb(0,0,255)","@symbol(5,512,0)"
"2654","Sparganium erectum L.","Sparganium erectum","Typhaceae","Poales","Lilianae","Monocot","Díaz","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,7,78.6320287699397,0,21.3679712300603,"C/CR","@rgb(201,0,54)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2655","Sparganium minimum (L.) Fr.","Sparganium natans","Typhaceae","Poales","Lilianae","Monocot","Kleyer","perennial","aquatic",1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,22.4367515545675,0,77.5632484454324,"R/CR","@rgb(57,0,198)","@rgb(192,192,192)","@rgb(0,0,255)","@symbol(5,512,0)"
"2656","Sparganium natans L.","Sparganium natans","Typhaceae","Poales","Lilianae","Monocot","Cerabolini/Pierce","perennial","aquatic",1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,46.7560660890437,20.5602555013117,32.6836784096446,"CR/CSR","@rgb(119,52,83)","@rgb(192,192,192)","@rgb(0,0,255)","@symbol(5,512,0)"
"2657","Spartina anglica C.E. Hubb.","Sporobolus anglicus","Poaceae","Poales","Lilianae","Monocot","Kleyer","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,34.0521791264685,65.9478208735315,0,"S/CS","@rgb(87,168,0)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"2658","Spartina versicolor Fabre","Sporobolus versicolor","Poaceae","Poales","Lilianae","Monocot","Buffa","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,30.1045360237886,68.4553265355854,1.44013744062596,"S/CS","@rgb(77,175,4)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"2659","Spartium junceum L.","Spartium junceum","Fabaceae","Fabales","Rosanae","Dicot","Cerabolini/Pierce","perennial","tree",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,22.1536493540053,0,77.8463506459947,"R/CR","@rgb(56,0,199)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"2660","Specularia perfoliata (L.) A. DC.","Triodanis perfoliata","Campanulaceae","Asterales","Asteranae","Dicot","Weiher","annual","forb",1,1,0,0,0,0,0,2,1,1,1,1,1,0,1,1,1,1,0,1,1,0,11,7.99427818216123,10.2213609957114,81.7843608221273,"R","@rgb(20,26,209)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2661","Spergula arvensis L.","Spergula arvensis","Caryophyllaceae","Caryophyllales","Caryophyllanae","Dicot","Cerabolini/Pierce","annual","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,20.9368633048579,0,79.0631366951421,"R/CR","@rgb(53,0,202)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2662","Spergularia echinosperma (Celak.) Asch. & Graebn.","Spergularia echinosperma","Caryophyllaceae","Caryophyllales","Caryophyllanae","Dicot","Kleyer","annual","forb",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,100,"R","@rgb(0,0,255)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2663","Spergularia media (L.) C. Presl","Spergularia media","Caryophyllaceae","Caryophyllales","Caryophyllanae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,0,0,100,"R","@rgb(0,0,255)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2664","Spergularia rubra (L.) J. Presl & C. Presl","Spergularia rubra","Caryophyllaceae","Caryophyllales","Caryophyllanae","Dicot","Wright","biennial","forb",0,0,1,0,1,0,0,2,0,0,0,1,1,1,0,0,0,1,1,1,1,0,7,0,0,100,"R","@rgb(0,0,255)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"2665","Spigelia aceifolia Woodson","Spigelia aceifolia","Loganiaceae","Gentianales","Asteranae","Dicot","Negreiros","perennial","shrub",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,100,0,"S","@rgb(0,255,0)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"2666","Spiraea japonica L.","Kerria japonica","Rosaceae","Rosales","Rosanae","Dicot","Cerabolini/Pierce","perennial","tree",0,0,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,30.1762546409717,35.6383532304916,34.1853921285367,"CSR","@rgb(77,91,87)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"2667","Spiraea latifolia (Aiton) Borkh.","Spiraea alba var. latifolia","Rosaceae","Rosales","Rosanae","Dicot","Shipley","perennial","shrub",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,31.3154713477586,58.1596437633252,10.5248848889162,"S/CSR","@rgb(80,148,27)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"2668","Spiraea salicifolia L.","Spiraea salicifolia","Rosaceae","Rosales","Rosanae","Dicot","Kleyer","perennial","shrub",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,17.7484781125164,59.7322054529684,22.5193164345151,"S/CSR","@rgb(45,152,57)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"2669","Spiraea tomentosa L.","Spiraea tomentosa","Rosaceae","Rosales","Rosanae","Dicot","Shipley","perennial","shrub",1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,4.96325512966923,84.9555361805894,10.0812086897413,"S","@rgb(13,217,26)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"2670","Spirodela polyrrhiza (L.) Schleid.",NA,"Araceae","Alismatales","Lilianae","Monocot","Cerabolini/Pierce","perennial","aquatic",1,0,1,1,1,1,0,5,1,1,0,1,1,1,1,1,1,1,0,1,1,1,12,2.03444298214307,0,97.9655570178569,"R","@rgb(5,0,250)","@rgb(192,192,192)","@rgb(0,0,255)","@symbol(5,512,0)"
"2671","Spondias mombin L.","Spondias mombin","Anacardiaceae","Sapindales","Rosanae","Dicot","Wright","perennial","tree",0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,5,72.2417917638546,21.3356530946312,6.42255514151416,"C/CS","@rgb(184,54,16)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"2672","Spondias radlkoferi Donn. Sm.","Spondias radlkoferi","Anacardiaceae","Sapindales","Rosanae","Dicot","Wright","perennial","tree",0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,66.5222499323061,21.9147509416084,11.5629991260855,"C/CS","@rgb(170,56,29)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"2673","Sporobolus clandenstinus (Biehler) Hitchc.","Sporobolus clandestinus","Poaceae","Poales","Lilianae","Monocot","Weiher","perennial","graminoid",1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,5,8.34754837476156,82.2674002847209,9.38505134051753,"S","@rgb(21,210,24)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"2674","Sporobolus heterolepis (A. Gray) A. Gray","Sporobolus heterolepis","Poaceae","Poales","Lilianae","Monocot","Weiher","perennial","graminoid",1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,14.3394947872323,66.2557770105936,19.4047282021741,"S/SR","@rgb(37,169,49)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"2675","Sporobolus interruptus Vasey","Sporobolus interruptus","Poaceae","Poales","Lilianae","Monocot","Laughlin","perennial","graminoid",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8.40449314065262,87.0645894739643,4.53091738538309,"S","@rgb(21,222,12)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
