"","Name_submitted","Accepted_name","Family","Order","Superorder","Group (Dicot, Monocot, Gymnosperm, Fern)","Sample reference code","Life cycle habit (annual, biennial, perennial)","Plant growth habit (aquatic, forb, graminoid,  herbaceous vine, liana, shrub, tree)","Nearctic","Neotropic","Palearctic","Afrotropic","Indo-Malay","Australasia","Oceania","Number of Biogeographic Realms","Tropical and Subtropical Moist Broadleaf Forests","Tropical and Subtropical Dry Broadleaf Forests","Tropical and Subtropical Coniferous Forests","Temperate Broadleaf and Mixed Forests","Temperate Coniferous Forests","Boreal Forests/Taiga","Tropical and Subtropical Grasslands, Savannas, and Shrublands","Temperate Grasslands, Savannas, and Shrublands","Flooded Grasslands and Savannas","Montane Grasslands and Shrublands","Tundra","Mediterranean Forests, Woodlands, and Scrub","Deserts and Xeric Shrublands","Mangroves","Number of Biomes","C (%)","S (%)","R (%)","CSR","Colour values for SigmaPlot","Growth habit (grey shade)","Growth habit (colour)","Growth habit (symbol)"
"1","Abarema cochliocarpos (Gomes) Barneby & J.W. Grimes","Abarema cochliocarpos","Fabaceae","Fabales","Rosanae","Dicot","Pinho","perennial","tree",0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,22.8339263881207,61.3887427229836,15.7773308888956,"S/CSR","@rgb(58,157,40)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"2","Abarema macradenia (Pittier) Barneby & J.W. Grimes","Jupunba macradenia","Fabaceae","Fabales","Rosanae","Dicot","Wright","perennial","tree",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.7589519180124,45.2410480819876,0,"CS","@rgb(140,115,0)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"3","Abuta racemosa (Thunb.) Triana & Planch.","Abuta racemosa","Menispermaceae","Ranunculales","Ranunculanae","Dicot","Wright","perennial","liana",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.5945470543439,63.1220993235161,7.28335362213998,"S/CS","@rgb(75,161,19)","@rgb(128,128,128)","@rgb(128,128,128)","@symbol(3,512,0)"
"4","Abutilon theophrasti Medik.","Abutilon theophrasti","Malvaceae","Malvales","Rosanae","Dicot","Cerabolini/Pierce","annual","forb",0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,4,66.5942835268611,14.0676981940679,19.338018279071,"C/CR","@rgb(170,36,49)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"5","Acalypha diversifolia Jacq.","Acalypha diversifolia","Euphorbiaceae","Malpighiales","Rosanae","Dicot","Wright","perennial","shrub",0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,6,43.5186207416452,35.9320792220485,20.5493000363063,"CS/CSR","@rgb(111,92,52)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"6","Acalypha macrostachya Jacq.","Acalypha macrostachya","Euphorbiaceae","Malpighiales","Rosanae","Dicot","Wright","perennial","shrub",0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,6,67.9070286440951,11.3000660254073,20.7929053304976,"C/CR","@rgb(173,29,53)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"7","Acalypha virginica L.","Acalypha virginica","Euphorbiaceae","Malpighiales","Rosanae","Dicot","Cerabolini/Pierce","annual","forb",1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4,28.015624598301,30.0827548819248,41.9016205197742,"CSR","@rgb(71,77,107)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"8","Acer campestre L.","Acer campestre","Sapindaceae","Sapindales","Rosanae","Dicot","Cerabolini/Pierce","perennial","tree",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,42.2899616471499,29.4104181593143,28.2996201935358,"CSR","@rgb(108,75,72)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"9","Acer monspessulanum L.","Acer monspessulanum","Sapindaceae","Sapindales","Rosanae","Dicot","Díaz","perennial","tree",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,4,23.4860824679986,68.825891770323,7.68802576167846,"S/CS","@rgb(60,176,20)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"10","Acer negundo L.","Acer negundo","Sapindaceae","Sapindales","Rosanae","Dicot","Cerabolini/Pierce","perennial","tree",1,1,0,0,0,0,0,2,1,1,1,1,1,1,0,1,0,0,0,0,1,0,8,50.3802345739496,23.3118171871648,26.3079482388856,"C/CSR","@rgb(128,59,67)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"11","Acer opalus Mill.","Acer opalus","Sapindaceae","Sapindales","Rosanae","Dicot","Cerabolini/Pierce","perennial","tree",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47.5493826267889,25.573654075573,26.8769632976382,"C/CSR","@rgb(121,65,69)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"12","Acer platanoides L.","Acer platanoides","Sapindaceae","Sapindales","Rosanae","Dicot","Cerabolini/Pierce","perennial","tree",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,48.7565445832724,35.3133901332443,15.9300652834832,"CS/CSR","@rgb(124,90,41)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"13","Acer pseudoplatanus L.","Acer pseudoplatanus","Sapindaceae","Sapindales","Rosanae","Dicot","Díaz","perennial","tree",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,37.5106323984026,54.9348151204904,7.554552481107,"CS","@rgb(96,140,19)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"14","Acer saccharum Marshall","Acer saccharum","Sapindaceae","Sapindales","Rosanae","Dicot","Shipley","perennial","tree",1,1,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,4,27.1308181085204,56.4405570485459,16.4286248429337,"S/CSR","@rgb(69,144,42)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"15","Aceras anthropophorum (L.) W.T. Aiton","Orchis anthropophora","Orchidaceae","Asparagales","Lilianae","Monocot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,41.3278781952615,0,58.6721218047385,"CR","@rgb(105,0,150)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"16","Achillea atrata L.","Achillea atrata","Asteraceae","Asterales","Asteranae","Dicot","Caccianiga","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,10.1270518108164,25.2710696573478,64.6018785318357,"R/SR","@rgb(26,64,165)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"17","Achillea cartilaginea Ledeb.",NA,"Asteraceae","Asterales","Asteranae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,23.4754056097157,26.1946057682883,50.329988621996,"R/CSR","@rgb(60,67,128)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"18","Achillea clavenae L.","Achillea clavennae","Asteraceae","Asterales","Asteranae","Dicot","Cerabolini","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,48.5466393224619,0,51.4533606775381,"CR","@rgb(124,0,131)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"19","Achillea collina (Becker ex Rchb. f.) Heimerl","Achillea collina","Asteraceae","Asterales","Asteranae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,41.0204198829952,15.7874837638998,43.192096353105,"CR/CSR","@rgb(105,40,110)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"20","Achillea macrophylla L.","Achillea macrophylla","Asteraceae","Asterales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,64.7077179107703,0,35.2922820892297,"C/CR","@rgb(165,0,90)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"21","Achillea millefolium L.","Achillea millefolium","Asteraceae","Asterales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,1,1,1,1,0,8,22.0177339375738,58.8050238475134,19.1772422149128,"S/CSR","@rgb(56,150,49)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"22","Achillea moschata Wulfen","Achillea erba-rotta subsp. moschata","Asteraceae","Asterales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,5.80086511514527,58.9390137190426,35.2601211658121,"SR","@rgb(15,150,90)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"23","Achillea pannonica Scheele","Achillea pannonica","Asteraceae","Asterales","Asteranae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,23.7914493555635,76.2085506444365,0,"S/CS","@rgb(61,194,0)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"24","Achillea roseo-alba Ehrend.","Achillea roseo-alba","Asteraceae","Asterales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,36.2031940716857,14.1106392758773,49.6861666524371,"CR/CSR","@rgb(92,36,127)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"25","Achnatherum calamagrostis (L.) P. Beauv.","Achnatherum calamagrostis","Poaceae","Poales","Lilianae","Monocot","Cerabolini/Pierce","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,43.3692382355552,40.8572517719196,15.7735099925252,"CS/CSR","@rgb(111,104,40)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"26","Acinos arvensis (Lam.) Dandy","Clinopodium acinos","Lamiaceae","Lamiales","Asteranae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,6,2.87490494473756,50.8944123873278,46.2306826679346,"SR","@rgb(7,130,118)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"27","Aconitum lycoctonum L.","Aconitum lycoctonum","Ranunculaceae","Ranunculales","Ranunculanae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,74.0277799396392,0,25.9722200603608,"C/CR","@rgb(189,0,66)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"28","Aconitum napellus L.","Aconitum napellus","Ranunculaceae","Ranunculales","Ranunculanae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,66.9032640844039,3.79554446542226,29.3011914501738,"C/CR","@rgb(171,10,75)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"29","Aconitum nasutum Fisch. ex Rchb.","Aconitum variegatum subsp. nasutum","Ranunculaceae","Ranunculales","Ranunculanae","Dicot","Soudzilovskaia","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,47.2783470949424,9.31605232694352,43.4056005781141,"CR","@rgb(121,24,111)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"30","Acorus calamus L.","Acorus calamus","Acoraceae","Acorales","Lilianae","Monocot","Shipley","perennial","forb",1,0,1,0,1,0,0,3,1,1,0,1,1,1,0,1,1,1,0,0,0,0,8,5.82805681534955,61.1401179914769,33.0318251931735,"S/SR","@rgb(15,156,84)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"31","Actaea spicata L.","Actaea spicata","Ranunculaceae","Ranunculales","Ranunculanae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,7,60.9034223605167,14.8203665496473,24.276211089836,"C/CSR","@rgb(155,38,62)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"32","Adenostyles alliariae (Gouan) A. Kern. alliariae","Adenostyles alliariae subsp. alliariae","Asteraceae","Asterales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,86.6544584076351,0,13.3455415923649,"C","@rgb(221,0,34)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"33","Adenostyles glabra (Mill.) DC.","Adenostyles alpina subsp. alpina","Asteraceae","Asterales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,80.1199743678443,0,19.8800256321557,"C/CR","@rgb(204,0,51)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"34","Adenostyles leucophylla (Willd.) Rchb.","Adenostyles leucophylla","Asteraceae","Asterales","Asteranae","Dicot","Cerabolini/Pierce","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,54.0004676214674,3.77137161962711,42.2281607589055,"CR","@rgb(138,10,108)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"35","Adiantum capillus-veneris L.","Adiantum capillus-veneris","Pteridaceae","Polypodiales",NA,"Fern","Cerabolini","perennial","forb",1,1,1,1,1,1,1,7,1,1,1,1,1,0,1,1,1,1,0,1,1,0,11,48.0008809775213,0,51.9991190224787,"CR","@rgb(122,0,133)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"36","Adonis aestivalis L.","Adonis aestivalis","Ranunculaceae","Ranunculales","Ranunculanae","Dicot","Kleyer","annual","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,6,12.2365309352887,0,87.7634690647113,"R","@rgb(31,0,224)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"37","Adonis vernalis L.","Adonis vernalis","Ranunculaceae","Ranunculales","Ranunculanae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,4,11.2603386018359,69.8858182842264,18.8538431139376,"S/SR","@rgb(29,178,48)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"38","Adoxa moschatellina L. moschatellina","Adoxa moschatellina subsp. moschatellina","Adoxaceae","Dipsacales","Asteranae","Dicot","Cerabolini","perennial","forb",1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4,30.8696087619535,0,69.1303912380465,"R/CR","@rgb(79,0,176)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"39","Aegilops geniculata Roth","Aegilops geniculata","Poaceae","Poales","Lilianae","Monocot","Wright","annual","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1.30723959013924,49.9705286421927,48.722231767668,"SR","@rgb(3,127,124)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"40","Aegiphila cephalophora Standl.","Aegiphila cephalophora","Lamiaceae","Lamiales","Asteranae","Dicot","Wright","perennial","liana",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.2042703468965,29.9368904255502,27.8588392275533,"CSR","@rgb(108,76,71)","@rgb(128,128,128)","@rgb(128,128,128)","@symbol(3,512,0)"
"41","Aegiphila elata Sw.","Aegiphila elata","Lamiaceae","Lamiales","Asteranae","Dicot","Wright","perennial","liana",0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,55.201676576663,34.7789302189152,10.0193932044218,"CS","@rgb(141,89,26)","@rgb(128,128,128)","@rgb(128,128,128)","@symbol(3,512,0)"
"42","Aegiphila panamensis Moldenke","Aegiphila panamensis","Lamiaceae","Lamiales","Asteranae","Dicot","Wright","perennial","tree",0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,48.2030811440279,21.4322952653136,30.3646235906585,"C/CSR","@rgb(123,55,77)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"43","Aegiphila pernambucensis Moldenke","Aegiphila pernambucensis","Lamiaceae","Lamiales","Asteranae","Dicot","Pinho","perennial","tree",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56.6584278863895,41.289906668742,2.05166544486851,"CS","@rgb(144,105,5)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"44","Aegopodium podagraria L.","Aegopodium podagraria","Apiaceae","Apiales","Asteranae","Dicot","Wright","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,4,65.132376557421,13.5292896535914,21.3383337889877,"C/CR","@rgb(166,34,54)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"45","Aesculus hippocastanum L.","Aesculus hippocastanum","Sapindaceae","Sapindales","Rosanae","Dicot","Cerabolini/Pierce","perennial","tree",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,76.5489674224564,12.5163339318948,10.9346986456488,"C/CS","@rgb(195,32,28)","@rgb(255,255,255)","@rgb(128,0,0)","@symbol(3,512,0)"
"46","Aetheopappus caucasicus Sosn.","Psephellus caucasicus","Asteraceae","Asterales","Asteranae","Dicot","Soudzilovskaia","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,40.2242008147706,18.144635792813,41.6311633924163,"CR/CSR","@rgb(103,46,106)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"47","Aethusa cynapium L.","Aethusa cynapium","Apiaceae","Apiales","Asteranae","Dicot","Kleyer","annual","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,55.6057462194665,9.30585317067262,35.0884006098609,"CR","@rgb(142,24,89)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"48","Agalinis brachyphylla (Cham. & Schltdl.) D'Arcy","Agalinis brachyphylla","Orobanchaceae","Lamiales","Asteranae","Dicot","Negreiros","perennial","forb",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.26914494866199,98.730855051338,0,"S","@rgb(3,252,0)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"49","Agave virginica L.","Agave virginica","Asparagaceae","Asparagales","Lilianae","Monocot","Weiher","perennial","shrub",1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,17.2718927360198,82.7281072639802,0,"S/CS","@rgb(44,211,0)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"50","Agonandra brasiliensis Miers ex Benth. & Hook. f.","Agonandra brasiliensis","Opiliaceae","Santalales","Santalanae","Dicot","Pinho","perennial","shrub",0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,32.9585848720488,67.0414151279512,0,"S/CS","@rgb(84,171,0)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"51","Agoseris glauca (Pursh) Raf.","Agoseris glauca","Asteraceae","Asterales","Asteranae","Dicot","Laughlin","perennial","shrub",1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,34.4362581388999,4.5617548786915,61.0019869824086,"R/CR","@rgb(88,12,156)","@rgb(192,192,192)","@rgb(0,0,0)","@symbol(6,512,0)"
"52","Agrimonia eupatoria L. eupatoria","Agrimonia eupatoria subsp. eupatoria","Rosaceae","Rosales","Rosanae","Dicot","Cerabolini","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,5,39.2021372739101,52.341041506777,8.45682121931287,"CS","@rgb(100,133,22)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"53","Agrimonia gryposepala Wallr.","Agrimonia gryposepala","Rosaceae","Rosales","Rosanae","Dicot","Shipley","perennial","forb",1,1,0,0,0,0,0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,6,14.2314598507664,72.9257910761748,12.8427490730588,"S/CS","@rgb(36,186,33)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"54","Agrimonia procera Wallr.","Agrimonia procera","Rosaceae","Rosales","Rosanae","Dicot","Kleyer","perennial","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,54.2447197870467,29.858266221601,15.8970139913523,"C/CSR","@rgb(138,76,41)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"55","Agrimonia pubescens Wallr.","Agrimonia pubescens","Rosaceae","Rosales","Rosanae","Dicot","Weiher","perennial","forb",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,43.097284193843,45.7717946601611,11.130921145996,"CS/CSR","@rgb(110,117,28)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"56","Agropyron desertorum (Fisch. ex Link) Schult.","Agropyron desertorum","Poaceae","Poales","Lilianae","Monocot","Laughlin","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,12.1183060741693,87.8816939258307,0,"S","@rgb(31,224,0)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"57","Agropyron junceum (L.) Beauv.","Thinopyrum junceum","Poaceae","Poales","Lilianae","Monocot","Cerabolini","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,31.8139933103948,68.1860066896052,0,"S/CS","@rgb(81,174,0)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"58","Agropyron repens (L.) P. Beauv.","Elymus repens","Poaceae","Poales","Lilianae","Monocot","Reich","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,6,26.0318594500573,50.8511796447039,23.1169609052388,"S/CSR","@rgb(66,130,59)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"59","Agrostemma githago L.","Agrostemma githago","Caryophyllaceae","Caryophyllales","Caryophyllanae","Dicot","Cerabolini/Pierce","annual","forb",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,28.7562048826503,44.0158000250512,27.2279950922985,"S/CSR","@rgb(73,112,69)","@rgb(192,192,192)","@rgb(192,192,192)","@symbol(2,512,0)"
"60","Agrostis alba L.","Poa nemoralis","Poaceae","Poales","Lilianae","Monocot","Shipley","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,19.0272687298447,44.7924635405237,36.1802677296317,"SR/CSR","@rgb(49,114,92)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"61","Agrostis alpina Scop.","Alpagrostis alpina","Poaceae","Poales","Lilianae","Monocot","Cerabolini","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1.10115983866283,95.2054029381828,3.6934372231544,"S","@rgb(3,243,9)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"62","Agrostis canina L.","Agrostis canina","Poaceae","Poales","Lilianae","Monocot","Díaz","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,4.46065234878862,41.7538220748432,53.7855255763682,"SR","@rgb(11,106,137)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"63","Agrostis capillaris L.","Agrostis capillaris","Poaceae","Poales","Lilianae","Monocot","Díaz","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,5.89903322199891,52.8314448839,41.2695218941011,"SR","@rgb(15,135,105)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"64","Agrostis gigantea Roth","Agrostis gigantea","Poaceae","Poales","Lilianae","Monocot","Kleyer","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,8,12.744412018355,35.3043204894311,51.9512674922139,"SR/CSR","@rgb(32,90,132)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"65","Agrostis mertensii Trin.","Agrostis mertensii","Poaceae","Poales","Lilianae","Monocot","Kleyer","perennial","graminoid",1,1,1,0,0,0,0,3,0,0,1,1,1,1,0,0,0,1,1,0,0,0,6,2.83801728158474,60.9069797619305,36.2550029564848,"SR","@rgb(7,155,92)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"66","Agrostis rupestris All.","Agrostis rupestris","Poaceae","Poales","Lilianae","Monocot","Cerabolini/Pierce","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1.87293198907138,83.4734496033599,14.6536184075687,"S","@rgb(5,213,37)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"67","Agrostis schraderiana Bech.","Agrostis schraderiana","Poaceae","Poales","Lilianae","Monocot","Cerabolini/Pierce","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,8.71489262323818,60.6590883643256,30.6260190124362,"S/SR","@rgb(22,155,78)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"68","Agrostis stolonifera L.","Agrostis stolonifera","Poaceae","Poales","Lilianae","Monocot","Díaz","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,11.3991449407094,46.7058635333731,41.8949915259175,"SR/CSR","@rgb(29,119,107)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"69","Agrostis tenuis Sibth.","Agrostis capillaris","Poaceae","Poales","Lilianae","Monocot","Wright","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,11.5477770033786,49.3298676470082,39.1223553496131,"SR/CSR","@rgb(29,126,100)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
"70","Agrostis vinealis Schreb.","Agrostis vinealis","Poaceae","Poales","Lilianae","Monocot","Kleyer","perennial","graminoid",0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,7,9.43632429165374,63.752407600529,26.8112681078172,"S/SR","@rgb(24,163,68)","@rgb(0,0,0)","@rgb(0,128,0)","@symbol(4,512,0)"
