Accepted Symbol,Synonym Symbol,Symbol,Scientific Name,PLANTS Floristic Area,State and Province,Category,Family,Duration,Growth Habit,Native Status,Characteristics Data,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit Color,Fruit Conspicuous,Growth Form,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Anaerobic Tolerance,CaCO<SUB>3</SUB> Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propogated by Bare Root,Propogated by Bulbs,Propogated by Container,Propogated by Corms,Propogated by Cuttings,Propogated by Seed,Propogated by Sod,Propogated by Sprigs,Propogated by Tubers,Seeds per Pound,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Nursery Stock Product,Palatable Browse Animal,Palatable Graze Animal,Palatable Human,Post Product,Protein Potential,Pulpwood Product,Veneer Product
SAAZG,,SAAZG,Salvia azurea var. grandiflora,NA (L48),"USA(AL, AR, CO, CT, GA, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, NM, NY, OH, OK, TN, TX, UT, WI)",Dicot,Lamiaceae,Perennial,Forb/herb,L48(N),Yes,Spring and Summer,Slow,None,High,No,No,No,Blue,Yes,Green,Moderate,Porous,Medium,Brown,No,Single Stem,Rapid,,3,No,No,Moderate,No,None,No,Erect,None,No,Yes,Yes,None,Medium,No,Low,Medium,Medium,110,None,Medium,6,8,,,16,24,14,None,Intolerant,-32,Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,300000,Moderate,High,No,None,No,No,No,,No,No,No,Medium,Low,No,No,Medium,No,No
SABA5,,SABA5,Salvia ballotiflora,NA (L48),USA(TX),Dicot,Lamiaceae,Perennial,"Subshrub, Shrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABR3,,SABR3,Salvia brandegeei,NA (L48),USA(CA),Dicot,Lamiaceae,Perennial,"Shrub, Subshrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABR13,,SABR13,Salvia broussonetii,,,Dicot,Lamiaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACA8,,SACA8,Salvia carduacea,NA (L48),USA(CA),Dicot,Lamiaceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACH5,,SACH5,Salvia chapmanii,NA (L48),"USA(AL, FL)",Dicot,Lamiaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACL,,SACL,Salvia clevelandii,NA (L48),USA(CA),Dicot,Lamiaceae,Perennial,"Subshrub, Shrub",L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACO5,,SACO5,Salvia coccinea,"NA (L48), HI, PR, VI","USA+(PR, VI), USA(AL, FL, GA, HI, LA, MS, OH, SC, TX)",Dicot,Lamiaceae,"Annual, Perennial","Subshrub, Forb/herb",L48(N)HI(I)PR(N)VI(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACO6,,SACO6,Salvia columbariae,NA (L48),"USA(AZ, CA, NM, NV, UT)",Dicot,Lamiaceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACOA5,,SACOA5,Salvia columbariae var. argillacea,NA (L48),USA(UT),Dicot,Lamiaceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
