Accepted Symbol,Synonym Symbol,Symbol,Scientific Name,PLANTS Floristic Area,State and Province,Category,Family,Duration,Growth Habit,Native Status,Characteristics Data,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistance,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit Color,Fruit Conspicuous,Growth Form,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Anaerobic Tolerance,CaCO<SUB>3</SUB> Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propogated by Bare Root,Propogated by Bulbs,Propogated by Container,Propogated by Corms,Propogated by Cuttings,Propogated by Seed,Propogated by Sod,Propogated by Sprigs,Propogated by Tubers,Seeds per Pound,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Fuelwood Product,Lumber Product,Naval Store Product,Nursery Stock Product,Palatable Browse Animal,Palatable Graze Animal,Palatable Human,Post Product,Protein Potential,Pulpwood Product,Veneer Product
ABELI,,ABELI,Abelia,NA (L48),"USA(FL, NC)",Dicot,Caprifoliaceae,,,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGR4,,ABGR4,Abelia ×grandiflora,NA (L48),"USA(FL, NC)",Dicot,Caprifoliaceae,Perennial,Shrub,L48(I),Yes,"Spring, Summer, Fall",,None,High,No,Yes,No,Purple,Yes,Dark Green,Dense,Moderate,Medium,Brown,No,Multiple Stem,Rapid,4,4,No,Yes,Long,No,None,Yes,Semi-Erect,None,Yes,Yes,No,None,None,No,Low,Medium,Medium,145,Medium,Medium,5.5,6.8,1200,2700,35,60,12,Low,Tolerant,-8,Late Summer,Routinely Available,None,Fall,Fall,No,Yes,No,Yes,No,Yes,No,No,No,No,,None,,No,None,No,No,No,,No,No,Yes,,,No,No,,No,No
ABELM,,ABELM,Abelmoschus,"NA (L48, PB)","USA+(PR, VI), USA(CT, DC, FL, HI, IL, KY, LA, MD, MI, MS, NC, PW, SC, VA)",Dicot,Malvaceae,,,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABES,,ABES,Abelmoschus esculentus,"NA (L48, GU, PB), PR, VI","USA+(PR, VI), USA(CT, DC, FL, IL, KY, LA, MD, MI, MS, NC, PW, SC, VA)",Dicot,Malvaceae,"Annual, Perennial","Subshrub, Forb/herb",L48(I)PR(I)VI(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA9,,ABMA9,Abelmoschus manihot,,USA(PW),Dicot,Malvaceae,,,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMO,,ABMO,Abelmoschus moschatus,"NA (GU, PB), HI,PR","USA+(PR), USA(HI, PW)",Dicot,Malvaceae,Perennial,"Subshrub, Shrub",L48(I)HI(I)PR(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIES,,ABIES,Abies,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AZ, CA, CO, CT, GA, IA, ID, IN, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY)",Gymnosperm,Pinaceae,,,"L48(I,N)CAN(N)SPM(N)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAL3,,ABAL3,Abies alba,NA (L48),USA(NC),Gymnosperm,Pinaceae,Perennial,Tree,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM,,ABAM,Abies amabilis,"NA (L48, AK, CAN)","CAN(BC), USA(AK, CA, OR, WA)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N)AK(N)CAN(N),Yes,Spring and Summer,,None,High,No,Yes,No,Yellow,No,Gray-Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,20,165,No,Yes,Long,No,None,No,Erect,None,Yes,Yes,Yes,None,Low,Yes,Low,Low,None,90,None,Medium,3.3,6,300,700,38,260,36,None,Tolerant,-28,Late Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,11280,Slow,Low,No,None,No,Yes,No,Low,Yes,No,No,Low,,No,No,,Yes,Yes
ABBA,,ABBA,Abies balsamea,"NA (L48, CAN, SPM)","CAN(AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, IA, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N)CAN(N)SPM(N),Yes,Spring and Summer,,None,High,No,No,No,Yellow,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,18,60,No,Yes,Short,No,None,No,Conical,None,Yes,Yes,Yes,None,Low,Yes,Low,Medium,Low,80,Low,Medium,4,6,300,1200,13,60,20,None,Tolerant,-43,Mid Summer,Routinely Available,Medium,Fall,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,59840,Slow,Low,No,None,No,Yes,No,Low,Yes,Yes,Yes,Medium,,No,No,Low,Yes,Yes
ABBAB,,ABBAB,Abies balsamea var. balsamea,"NA (L48, CAN, SPM)","CAN(AB, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(CT, IA, IN, MA, MD, ME, MI, MN, NH, NY, OH, PA, RI, VA, VT, WI, WV)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N)CAN(N)SPM(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBAP,,ABBAP,Abies balsamea var. phanerolepis,"NA (L48, CAN)","CAN(NB, NF, NS, ON, PE, QC), USA(ME, NH, VA, VT, WV)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBR,,ABBR,Abies bracteata,NA (L48),USA(CA),Gymnosperm,Pinaceae,Perennial,Tree,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCO,,ABCO,Abies concolor,NA (L48),"USA(AZ, CO, ID, MA, ME, NM, NV, OR, UT, WY)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N),Yes,Spring and Summer,,None,High,No,No,No,Red,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,20,120,No,Yes,Long,No,None,No,Conical,None,Yes,Yes,No,None,Low,Yes,Medium,Medium,Medium,80,Low,Medium,5.5,7.8,300,1200,18,80,40,None,Intermediate,-38,Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,15920,Moderate,Medium,No,None,No,Yes,No,Low,Yes,No,Yes,Low,,No,No,Low,Yes,Yes
ABFI,,ABFI,Abies firma,NA (L48),USA(NC),Gymnosperm,Pinaceae,Perennial,Tree,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFR,,ABFR,Abies fraseri,NA (L48),"USA(GA, NC, TN, VA)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N),Yes,Spring and Summer,,None,High,No,No,No,Purple,No,Dark Green,Moderate,Moderate,Medium,Brown,Yes,Single Stem,Moderate,20,55,No,Yes,Moderate,No,None,Yes,Erect,None,Yes,Yes,No,Low,Low,No,Low,Low,Low,90,Low,Medium,3.5,5.5,435,1200,45,100,6,Low,Tolerant,-23,Mid Spring,Routinely Available,Medium,Spring,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,60800,Slow,Medium,No,None,No,Yes,No,Low,No,No,Yes,Low,,No,No,Low,Yes,Yes
ABGR,,ABGR,Abies grandis,"NA (L48, CAN)","CAN(BC), USA(CA, ID, MT, OR, WA)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N)CAN(N),Yes,Spring and Summer,,None,High,No,No,Yes,,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Moderate,25,150,No,Yes,Long,No,None,No,Conical,None,Yes,Yes,No,Low,Low,Yes,Medium,Medium,High,60,Low,Medium,4.5,7.5,300,1200,11,100,20,None,Tolerant,-33,Late Spring,Field Collections Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,23200,Slow,Low,No,None,No,Yes,No,Low,Yes,No,Yes,Low,,No,No,Low,Yes,Yes
ABGU,,ABGU,Abies guatemalensis,,,Gymnosperm,Pinaceae,Perennial,Tree,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHO,,ABHO,Abies homolepis,NA (L48),USA(NY),Gymnosperm,Pinaceae,Perennial,Tree,L48(I),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLA,,ABLA,Abies lasiocarpa,"NA (L48, AK, CAN)","CAN(AB, BC, NT, YT), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N)AK(N)CAN(N),Yes,Spring and Summer,,None,High,No,No,No,,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,15,90,No,Yes,Long,No,None,No,Conical,None,Yes,Yes,No,None,Low,Yes,Low,Medium,Low,120,Low,Medium,4,6.5,300,1200,20,150,40,None,Tolerant,-51,Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,37440,Slow,Low,No,None,No,Yes,No,Low,Yes,No,Yes,Low,,No,No,Low,Yes,No
ABLAA,,ABLAA,Abies lasiocarpa var. arizonica,NA (L48),"USA(AZ, CO, NM)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLAL,,ABLAL,Abies lasiocarpa var. lasiocarpa,"NA (L48, AK, CAN)","CAN(AB, BC, NT, YT), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N)AK(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLO,,ABLO,Abies lowiana,NA (L48),"USA(CA, NV, OR)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA,,ABMA,Abies magnifica,NA (L48),"USA(CA, NV, NY, OR)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N),Yes,Spring and Summer,,None,High,No,No,Yes,Brown,No,Dark Green,Moderate,Moderate,Medium,Brown,Yes,Single Stem,Slow,35,150,No,Yes,Long,No,None,No,Erect,None,Yes,Yes,No,None,Low,Yes,Low,Low,Low,90,Low,Medium,5,6.1,430,1200,33,64,20,Low,Tolerant,-23,Late Spring,Contracting Only,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,5680,Slow,Medium,No,None,No,Yes,No,Low,Yes,No,Yes,Low,Low,No,No,Low,Yes,Yes
ABMAM,,ABMAM,Abies magnifica var. magnifica,NA (L48),"USA(CA, OR)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMAS,,ABMAS,Abies magnifica var. shastensis,NA (L48),"USA(CA, OR)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPR,,ABPR,Abies procera,NA (L48),"USA(CA, OR, WA)",Gymnosperm,Pinaceae,Perennial,Tree,L48(N),Yes,Spring and Summer,,None,High,No,No,No,,No,Dark Green,Dense,Dense,Medium,Purple,Yes,Single Stem,Rapid,25,230,No,Yes,Long,No,None,No,Erect,None,Yes,Yes,No,None,Low,Yes,Low,Low,Low,50,Low,Low,6,7.5,430,1200,64,120,20,None,Intermediate,-23,Late Spring,Contracting Only,Low,Spring,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,14640,Slow,Low,No,None,No,Yes,No,Medium,Yes,No,Yes,Low,Low,No,No,Low,Yes,Yes
ABVE2,,ABVE2,Abies veitchii,,,Gymnosperm,Pinaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIET,,ABIET,Abietinella,NA (L48),USA(NJ),Moss,Thuidiaceae,,,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAB70,,ABAB70,Abietinella abietina,NA (L48),USA(NJ),Moss,Thuidiaceae,,Nonvascular,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABILD,,ABILD,Abildgaardia,"NA (L48, PB)","USA+(PR, VI), USA(FL, PW)",Monocot,Cyperaceae,,,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOV,,ABOV,Abildgaardia ovata,"NA (L48, GU, PB), PR, VI","USA+(PR, VI), USA(FL, PW)",Monocot,Cyperaceae,Perennial,Graminoid,L48(N)PR(N)VI(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABROM,,ABROM,Abroma,,USA(PW),,Sterculiaceae,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAU3,,ABAU3,Abroma augustum,,USA(PW),,Sterculiaceae,Perennial,Shrub,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRON,,ABRON,Abronia,NA (L48),"CAN(BC), USA(AZ, CA, CO, ID, KS, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY)",Dicot,Nyctaginaceae,,,L48(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAL,,ABAL,Abronia alpina,NA (L48),USA(CA),Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM2,,ABAM2,Abronia ameliae,NA (L48),USA(TX),Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM3,,ABAM3,Abronia ammophila,NA (L48),USA(WY),Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAN,,ABAN,Abronia angustifolia,NA (L48),"USA(AZ, NM, TX)",Dicot,Nyctaginaceae,"Annual, Perennial",Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAR,,ABAR,Abronia argillosa,NA (L48),"USA(CO, UT)",Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBI,,ABBI,Abronia bigelovii,NA (L48),USA(NM),Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBO,,ABBO,Abronia bolackii,NA (L48),USA(NM),Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA,,ABCA,Abronia carletonii,NA (L48),"USA(CO, NM, TX)",Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABEL,,ABEL,Abronia elliptica,NA (L48),"USA(AZ, CO, NM, NV, UT, WY)",Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFR2,,ABFR2,Abronia fragrans,NA (L48),"USA(AZ, CO, KS, MT, ND, NE, NM, OK, SD, TX, UT, WA, WY)",Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGR2,,ABGR2,Abronia gracilis,NA (L48),USA(CA),Dicot,Nyctaginaceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIN2,,ABIN2,Abronia insularis,NA (L48),USA(CA),Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLA2,,ABLA2,Abronia latifolia,"NA (L48, CAN)","CAN(BC), USA(CA, OR, WA)",Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA5,,ABMA5,Abronia macrocarpa,NA (L48),USA(TX),Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA2,,ABMA2,Abronia maritima,NA (L48),USA(CA),Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABME,,ABME,Abronia mellifera,NA (L48),"USA(ID, OR, UT, WA, WY)",Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMI2,,ABMI2,Abronia minor,NA (L48),USA(CA),Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNA,,ABNA,Abronia nana,NA (L48),"USA(AZ, CA, CO, NM, NV, UT)",Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNAC,,ABNAC,Abronia nana var. covillei,NA (L48),"USA(CA, NV)",Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNAH,,ABNAH,Abronia nana var. harrisii,NA (L48),"USA(NM, UT)",Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNAN,,ABNAN,Abronia nana var. nana,NA (L48),"USA(AZ, CA, CO, NV, UT)",Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNE,,ABNE,Abronia neurophylla,NA (L48),USA(CA),Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPO,,ABPO,Abronia pogonantha,NA (L48),"USA(CA, NV)",Dicot,Nyctaginaceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTU,,ABTU,Abronia turbinata,NA (L48),"USA(CA, NV, OR)",Dicot,Nyctaginaceae,"Annual, Perennial",Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUM,,ABUM,Abronia umbellata,"NA (L48, CAN)","CAN(BC), USA(CA, OR, WA)",Dicot,Nyctaginaceae,Perennial,"Vine, Forb/herb",L48(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUMB,,ABUMB,Abronia umbellata ssp. breviflora,"NA (L48, CAN)","CAN(BC), USA(CA, OR, WA)",Dicot,Nyctaginaceae,Perennial,"Forb/herb, Vine",L48(N)CAN(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUMU,,ABUMU,Abronia umbellata ssp. umbellata,NA (L48),USA(CA),Dicot,Nyctaginaceae,Perennial,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABVI,,ABVI,Abronia villosa,NA (L48),"USA(AZ, CA, NV, UT)",Dicot,Nyctaginaceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABVIA,,ABVIA,Abronia villosa var. aurita,NA (L48),"USA(AZ, CA)",Dicot,Nyctaginaceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABVIV,,ABVIV,Abronia villosa var. villosa,NA (L48),"USA(AZ, CA, NV, UT)",Dicot,Nyctaginaceae,Annual,Forb/herb,L48(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABROT,,ABROT,Abrothallus,NA (L48),,Lichen,Uncertain Ascomycota Family,,,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBE2,,ABBE2,Abrothallus bertianus,NA (L48),,Lichen,Uncertain Ascomycota Family,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBR3,,ABBR3,Abrothallus bryoriarum,NA (L48),,Lichen,Uncertain Ascomycota Family,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCE,,ABCE,Abrothallus cetrariae,NA (L48),,Lichen,Uncertain Ascomycota Family,,Lichenous,NA(N),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
