Accepted_name,status,Native_L1,Native_L2,Native_L3,Native_L4,Established_L1,Established_L2,Established_L3,Established_L4,Invasive_L1,Invasive_L2,Invasive_L3,Invasive_L4
Abarema jupunba,established,,,,,",8,",",83,",",BOL,",",BOL-OO,",,,,
Abelia chinensis,established,",3,4,",",36,38,41,",",CHC,CHS,NNS,TAI,VIE,",",,CHC-OO,CHS-OO,NNS-OO,TAI-OO,VIE-OO,",",7,2,",",79,26,",",MXE,MXC,MOZ,",",MXE-CO,MXC-DF,MXC-ME,MOZ-OO,",,,,
Abelia x grandiflora,established,,,,,",5,7,8,",",50,78,76,77,83,51,",",NSW,ALA,ARI,FLA,GEO,MSI,NCA,TEX,ECU,BOL,NZN,",",NSW-NS,ALA-OO,ARI-OO,FLA-OO,GEO-OO,MSI-OO,NCA-OO,TEX-OO,ECU-OO,BOL-OO,NZN-OO,",,,,
Abelmoschus esculentus,established,",4,",",40,41,",",BAN,IND,MYA,",",,BAN-OO,IND-OO,MYA-OO,",",8,2,6,3,4,7,",",81,22,23,80,24,60,62,38,41,29,79,26,78,75,74,77,27,83,",",LEE,BEN,WIN,IVO,CMN,ZAI,COS,CAY,ETH,FIJ,MRN,HAI,JAP,LAO,MDG,MXT,MXS,MXC,MXE,MXN,MXG,MOZ,MTN,NGA,NIC,PUE,GGI,CHA,ALA,CNT,WDC,FLA,ILL,KTY,LOU,MIC,MIN,MSI,NCA,SCA,TEX,VRG,TVL,NAT,ZAM,BOL,",",LEE-AB,BEN-OO,LEE-SM,WIN-BA,IVO-OO,CMN-OO,ZAI-OO,COS-OO,CAY-OO,ETH-OO,FIJ-OO,MRN-GU,HAI-HA,LEE-SK,LAO-OO,MDG-OO,MXT-CI,MXS-GR,MXS-JA,MXC-ME,MXS-MI,MXS-OA,MXE-QU,MXT-QR,MXN-SI,MXE-SL,MXT-TB,MXG-VC,MXT-YU,MOZ-OO,MTN-OO,WIN-MA,NGA-OO,NIC-OO,PUE-OO,GGI-ST,CHA-OO,ALA-OO,CNT-OO,WDC-OO,FLA-OO,ILL-OO,KTY-OO,LOU-OO,MIC-OO,MIN-OO,MSI-OO,NCA-OO,SCA-OO,TEX-OO,VRG-OO,LEE-VI,TVL-GA,NAT-OO,ZAM-OO,MXN-BC,MXN-BS,BOL-OO,",,,,
Abelmoschus ficulneus,established,",4,2,5,",",40,24,42,25,29,26,43,50,",",BAN,ERI,ETH,IND,JAW,KEN,LSI,MDG,MOZ,NWG,PAK,QLD,SOM,SRL,TAN,UGA,WHM,ZAM,",",,BAN-OO,ERI-OO,ETH-OO,IND-OO,JAW-OO,KEN-OO,LSI-LS,MDG-OO,MOZ-OO,NWG-OO,PAK-OO,QLD-QU,SOM-OO,SRL-OO,TAN-OO,UGA-OO,WHM-OO,ZAM-OO,",",2,",",24,25,29,22,",",ERI,ETH,KEN,MDG,NGR,NGA,SUD,SOM,CHA,TAN,UGA,",",ERI-OO,ETH-OO,KEN-OO,MDG-OO,NGR-OO,NGA-OO,SUD-OO,SOM-OO,CHA-OO,TAN-OO,UGA-OO,",,,,
Abelmoschus manihot,established,",4,3,5,",",40,43,36,42,41,50,",",ASS,BAN,BIS,CHN,CHC,CHS,XMS,EHM,IND,JAW,LAO,LSI,MOL,MYA,NEP,NWG,PAK,PHI,QLD,SUL,SUM,THA,VIE,WHM,",",,ASS-AS,BAN-OO,BIS-OO,CHC-OO,CHN-OO,CHS-OO,EHM-OO,IND-OO,JAW-OO,LAO-OO,LSI-LS,MOL-OO,MYA-OO,NEP-OO,NWG-OO,PAK-OO,PHI-OO,QLD-QU,SUL-OO,SUM-OO,THA-OO,VIE-OO,WHM-OO,XMS-OO,",",5,2,3,4,7,8,",",50,23,38,41,79,26,80,29,83,",",NSW,QLD,CMN,JAP,LAO,MXS,MXC,MXG,MOZ,PAN,REU,ECU,BOL,PER,",",NSW-NS,QLD-QU,CMN-OO,LAO-OO,MXS-NA,MXS-OA,MXC-PU,MXG-VC,MOZ-OO,PAN-OO,REU-OO,ECU-OO,BOL-OO,PER-OO,",,,,
Abelmoschus manihot subsp. tetraphyllus,established,",4,3,5,",",43,36,40,42,41,50,",",BIS,CHC,EHM,IND,JAW,LSI,MOL,MYA,NWG,PAK,PHI,QLD,SUL,",",,BIS-OO,CHC-OO,EHM-OO,IND-OO,JAW-OO,LSI-LS,MOL-OO,MYA-OO,NWG-OO,PAK-OO,PHI-OO,QLD-QU,SUL-OO,",",5,",",50,",",QLD,",",QLD-QU,",,,,
Abelmoschus manihot var. pungens,established,",4,3,",",40,36,42,41,",",ASS,CHC,CHS,XMS,EHM,IND,LAO,LSI,MYA,NEP,PAK,PHI,SUM,THA,VIE,WHM,",",,ASS-AS,CHC-OO,CHS-OO,EHM-OO,IND-OO,LAO-OO,LSI-LS,MYA-OO,NEP-OO,PAK-OO,PHI-OO,SUM-OO,THA-OO,VIE-OO,WHM-OO,XMS-OO,",",4,",",41,",",LAO,",",LAO-OO,",,,,
Abelmoschus moschatus,invasive,",4,3,5,",",40,42,41,36,43,38,50,",",ASS,BAN,BOR,CBD,CHC,CHS,CHH,IND,JAW,LAO,LSI,MLY,MOL,MYA,NWG,PHI,SUL,SUM,TAI,THA,VIE,WHM,,AND,SRL,NTA,QLD,WAU,",",,AND-OO,ASS-AS,BAN-OO,BOR-OO,CBD-OO,CHC-GZ,CHC-YN,CHH-OO,CHS-GD,CHS-GX,CHS-HK,CHS-HN,CHS-JX,IND-OO,JAW-OO,LAO-OO,LSI-LS,MLY-OO,MOL-OO,MYA-OO,NTA-OO,NWG-OO,PHI-OO,QLD-OO,SRL-OO,SUL-OO,SUM-OO,TAI-OO,THA-OO,VIE-OO,WAU-OO,WHM-OO,",",6,5,2,8,3,7,4,",",60,50,22,81,36,23,80,62,38,79,29,63,83,26,82,42,61,",",SAM,NSW,BEN,LEE,WIN,CHS,CHC,CMN,COS,GAB,GUI,EQG,MRN,JAP,LBR,MXT,MXS,MXE,MXG,NIC,PUE,GGI,SEY,TON,TAI,HAW,ECU,BOL,PER,WAU,MOZ,VEN,JAP,MLY,COO,CRL,FIJ,,MRS,NWC,NUE,WAL,",",SAM-AS,NSW-NS,BEN-OO,LEE-SM,WIN-BA,CHS-JX,CHS-HN,CHS-GD,CHS-GX,CHC-YN,CMN-OO,COS-OO,WIN-DO,GAB-OO,GUI-OO,EQG-OO,WIN-GR,MRN-GU,LBR-OO,WIN-SL,MXT-CI,MXS-OA,MXE-QU,MXE-SL,MXT-TB,MXG-VC,MRN-NM,WIN-MA,NIC-OO,PUE-OO,GGI-ST,SEY-OO,TON-OO,TAI-OO,HAW-HI,WIN-SV,SAM-WS,ECU-OO,BOL-OO,PER-OO,WAU-WA,MOZ-OO,VEN-OO,,COO-OO,CRL-MF,CRL-PA,FIJ-OO,HAW-OO,JAP-OO,MLY-SI,MRS-OO,NUE-OO,NWC-OO,WAL-OO,",",3,4,6,",",38,42,63,60,61,62,",",JAP,MLY,HAW,SAM,COO,CRL,FIJ,,MRN,MRS,NWC,NUE,TON,WAL,",",,COO-OO,CRL-MF,CRL-PA,FIJ-OO,HAW-OO,JAP-OO,MLY-SI,MRN-GU,MRN-NM,MRS-OO,NUE-OO,NWC-OO,SAM-AS,TON-OO,WAL-OO,"
Abies alba,established,",1,",",13,11,14,12,",",ALB,AUT,BLR,BUL,COR,CZE,FRA,GER,GRC,HUN,ITA,POL,ROM,SPA,SWI,TUE,UKR,YUG,",",,ALB-OO,AUT-AU,BLR-OO,BUL-OO,COR-OO,CZE-OO,FRA-FR,GER-OO,GRC-OO,HUN-OO,ITA-IT,POL-OO,ROM-OO,SPA-SP,SWI-OO,TUE-OO,UKR-UK,YUG-OO,",",1,7,",",10,14,78,11,",",DEN,BLT,GRB,IRE,NOR,SWE,NCA,GER,",",DEN-OO,BLT-ES,GRB-OO,IRE-NI,IRE-IR,NOR-OO,SWE-OO,NCA-OO,GER-OO,",,,,
Abies balsamea,established,",7,",",71,75,74,72,78,",",ABT,CNT,IOW,LAB,MAI,MAN,MAS,MIC,MIN,NBR,NWH,NWJ,NWY,NFL,NSC,ONT,PEN,PEI,QUE,SAS,VER,VRG,WVA,WIS,",",,ABT-OO,CNT-OO,IOW-OO,LAB-OO,MAI-OO,MAN-OO,MAS-OO,MIC-OO,MIN-OO,NBR-OO,NFL-NE,NSC-OO,NWH-OO,NWJ-OO,NWY-OO,ONT-OO,PEI-OO,PEN-OO,QUE-OO,SAS-OO,VER-OO,VRG-OO,WIS-OO,WVA-OO,",",1,7,",",10,14,75,",",FIN,BLT,SWE,OHI,",",FIN-OO,BLT-LA,SWE-OO,OHI-OO,",,,,
Abies balsamea var. phanerolepis,established,",7,",",78,75,",",VRG,WVA,",",,VRG-OO,WVA-OO,",",1,",",14,",",BLT,",",BLT-ES,",,,,
Abies cephalonica,established,",1,",",13,",",ALB,GRC,",",,ALB-OO,GRC-OO,",",1,",",10,",",GRB,",",GRB-OO,",,,,
Abies concolor,established,",7,",",76,73,79,77,",",ARI,CAL,COL,IDA,MXE,MXN,NEV,NWM,ORE,UTA,WYO,",",,ARI-OO,CAL-OO,COL-OO,IDA-OO,MXE-OO,MXN-OO,NEV-OO,NWM-OO,ORE-OO,UTA-OO,WYO-OO,",",1,7,",",14,10,75,73,",",BLT,SWE,MAS,MAI,ORE,WAS,",",BLT-LA,SWE-OO,MAS-OO,MAI-OO,ORE-OO,WAS-OO,",,,,
Abies fraseri,established,",7,",",78,",",NCA,TEN,VRG,",",,NCA-OO,TEN-OO,VRG-OO,",",1,7,",",14,74,",",BLT,MIN,",",BLT-ES,MIN-OO,",,,,
Abies grandis,established,",7,",",71,76,73,",",BRC,CAL,IDA,MNT,ORE,WAS,",",,BRC-OO,CAL-OO,IDA-OO,MNT-OO,ORE-OO,WAS-OO,",",1,5,",",10,12,51,",",DEN,FRA,GRB,IRE,SWE,NZN,NZS,",",DEN-OO,FRA-FR,GRB-OO,IRE-NI,SWE-OO,NZN-OO,NZS-OO,",,,,
Abies lasiocarpa,established,",7,",",70,71,76,73,77,",",ASK,ABT,ARI,BRC,CAL,COL,IDA,MNT,NEV,NWM,NWT,ORE,WAS,WYO,YUK,",",,ABT-OO,ARI-OO,ASK-OO,BRC-OO,CAL-OO,COL-OO,IDA-OO,MNT-OO,NEV-OO,NWM-OO,NWT-OO,ORE-OO,WAS-OO,WYO-OO,YUK-OO,",",1,",",10,",",SWE,",",SWE-OO,",,,,
Abies nordmanniana,established,",3,",",33,34,",",NCS,TCS,TUR,",",,NCS-OO,TCS-OO,TUR-OO,",",1,5,",",10,12,14,51,",",DEN,FRA,GRB,BLT,SWE,NZN,NZS,",",DEN-OO,FRA-FR,GRB-OO,BLT-LA,SWE-OO,NZN-OO,NZS-OO,",,,,
Abies numidica,established,",2,",",20,",",ALG,",",,ALG-OO,",",3,",",33,",",TCS,",",TCS-AR,",,,,
Abies pinsapo,established,",2,1,",",20,12,",",MOR,SPA,",",,MOR-MO,SPA-SP,",",1,2,3,8,",",12,21,33,83,",",COR,FRA,MDR,TCS,BOL,",",COR-OO,FRA-FR,MDR-OO,TCS-AR,BOL-OO,",,,,
Abies procera,established,",7,",",76,73,",",CAL,ORE,WAS,",",,CAL-OO,ORE-OO,WAS-OO,",",1,",",10,",",GRB,IRE,SWE,",",GRB-OO,IRE-NI,SWE-OO,",,,,
Abies sibirica,established,",3,1,",",30,31,14,32,36,",",ALT,AMU,BRY,CTA,RUE,IRK,KHA,KGZ,KRA,RUN,TVA,WSB,CHX,YAK,",",,ALT-OO,AMU-OO,BRY-OO,CHX-OO,CTA-OO,IRK-OO,KGZ-OO,KHA-OO,KRA-OO,RUE-OO,RUN-OO,TVA-OO,WSB-OO,YAK-OO,",",1,3,",",14,10,33,",",BLT,RUW,RUC,SWE,TCS,",",BLT-ES,BLT-LA,RUW-OO,RUC-OO,SWE-OO,TCS-AR,",,,,
Abrus fruticulosus,established,",4,2,3,",",41,40,22,23,24,36,25,29,26,",",AND,ASS,BEN,CMN,CAF,CHA,CHS,CON,ERI,ETH,GAB,GNB,IND,IVO,KEN,LBR,MDG,MLW,MOZ,SUD,TAN,UGA,ZAM,ZIM,",",,AND-AN,ASS-AS,BEN-OO,CAF-OO,CHA-OO,CHS-OO,CMN-OO,CON-OO,ERI-OO,ETH-OO,GAB-OO,GNB-OO,IND-OO,IVO-OO,KEN-OO,LBR-OO,MDG-OO,MLW-OO,MOZ-OO,SUD-OO,TAN-OO,UGA-OO,ZAM-OO,ZIM-OO,",",2,6,5,1,8,3,4,7,",",26,60,50,13,14,84,81,36,61,20,12,29,42,79,27,40,51,21,38,78,76,75,63,74,77,",",MOZ,SAM,TOK,NSW,NTA,QLD,SOA,TAS,WAU,BUL,BLR,BZN,BZE,BZC,BZL,BZS,WIN,CHN,CHM,CHS,CHC,CHH,CHI,CHX,CHT,COO,CUB,CAY,ALG,SPA,CGS,GRC,ITA,SAR,PHX,LEE,MXE,MXN,MXT,MXS,MXC,MXG,MAU,NAM,NFK,NEP,PUE,MDR,MRQ,TON,TAI,UKR,ALA,ARK,ARI,CAL,CNT,DEL,FLA,GEO,HAW,IOW,ILL,INI,KAN,KTY,LOU,MAS,MRY,MSO,MSI,NCA,NEB,NWJ,NWM,NWY,OHI,OKL,PEN,SCA,TEN,TEX,UTA,VRG,KER,REU,AZO,ROD,NZN,NZS,",",MOZ-OO,SAM-AS,TOK-SW,NSW-NS,NTA-OO,QLD-QU,SOA-OO,TAS-OO,WAU-WA,BUL-OO,BLR-OO,BZN-AM,BZE-BA,BZC-DF,BZL-ES,BZC-GO,BZE-MA,BZL-MG,BZC-MS,BZC-MT,BZN-PA,BZE-PB,BZE-PE,BZS-PR,BZL-RJ,BZS-RS,BZS-SC,BZE-SE,BZL-SP,WIN-BA,CHN-HB,CHN-SX,CHM-LN,CHM-JL,CHM-HJ,CHS-SH,CHS-JS,CHS-ZJ,CHS-AH,CHS-FJ,CHS-JX,CHN-SD,CHS-HE,CHC-HU,CHS-GD,CHS-GX,CHH-OO,CHC-SC,CHC-GZ,CHC-YN,CHI-NM,CHN-SA,CHI-NX,CHX-OO,CHT-OO,COO-OO,TOK-MA,CUB-OO,CAY-OO,WIN-DO,ALG-OO,SPA-SP,CGS-OO,GRC-OO,ITA-IT,SAR-OO,PHX-OO,LEE-SK,MXE-AG,MXN-BC,MXT-CA,MXE-CU,MXT-CI,MXE-CO,MXS-CL,MXC-DF,MXE-DU,MXS-GR,MXE-GU,MXE-HI,MXS-JA,MXC-ME,MXS-MI,MXC-MO,MXS-NA,MXE-NL,MXS-OA,MXC-PU,MXE-QU,MXT-QR,MXN-SI,MXE-SL,MXN-SO,MXT-TB,MXE-TA,MXC-TL,MXG-VC,MXT-YU,MXE-ZA,MAU-OO,NAM-OO,NFK-NI,NEP-OO,PUE-OO,MDR-OO,MRQ-OO,TON-OO,TAI-OO,UKR-UK,ALA-OO,ARK-OO,ARI-OO,CAL-OO,CNT-OO,DEL-OO,FLA-OO,GEO-OO,HAW-HI,IOW-OO,ILL-OO,INI-OO,KAN-OO,KTY-OO,LOU-OO,MAS-OO,MRY-OO,MSO-OO,MSI-OO,NCA-OO,NEB-OO,NWJ-OO,NWM-OO,NWY-OO,OHI-OO,OKL-OO,PEN-OO,SCA-OO,TEN-OO,TEX-OO,UTA-OO,VRG-OO,LEE-VI,LEE-BV,KER-OO,MXN-BC,MXN-BS,REU-OO,AZO-OO,ROD-OO,NZN-OO,NZS-OO,",,,,
Abrus melanospermus subsp. melanospermus,established,",4,3,6,",",41,40,42,36,60,43,",",AND,ASS,BAN,BOR,CBD,CHC,CHS,EHM,CHH,IND,JAW,LAO,MLY,MYA,NEP,NWC,NWG,PHI,SRL,THA,VIE,WHM,",",,AND-AN,ASS-AS,BAN-OO,BOR-OO,CBD-OO,CHC-OO,CHH-OO,CHS-OO,EHM-OO,IND-OO,JAW-OO,LAO-OO,MLY-OO,MYA-OO,NEP-OO,NWC-OO,NWG-OO,PHI-OO,SRL-OO,THA-OO,VIE-OO,WHM-OO,",",8,",",83,",",CLM,BOL,",",CLM-OO,BOL-OO,",,,,
Abrus precatorius,invasive,",2,4,3,5,6,",",29,41,26,40,22,27,23,21,24,36,25,42,50,38,35,61,60,",",ALD,AND,ANG,ASS,BAN,BEN,BOT,BKN,BUR,CBD,CMN,CPP,CVI,CPV,CAF,CHA,CHC,CHS,COM,CON,EHM,EQG,ERI,ETH,GAB,GAM,GUI,GNB,GGI,IND,IVO,KEN,NAT,LAO,LBR,MDG,MLW,MLY,MLI,MTN,MOZ,MYA,NAM,NEP,NSW,NCB,NGR,TVL,NTA,PAK,QLD,RWA,SEN,SEY,SOM,SCS,SRL,SUD,SWZ,TAI,TAN,THA,TOG,UGA,VIE,WHM,WAU,YEM,ZAM,ZAI,ZIM,,PHI,COO,FIJ,TON,",",,ALD-OO,AND-AN,ANG-OO,ASS-AS,BAN-OO,BEN-OO,BKN-OO,BOT-OO,BUR-OO,CAF-OO,CBD-OO,CHA-OO,CHC-OO,CHS-HK,CMN-OO,COM-CO,CON-OO,COO-OO,CPP-OO,CPV-OO,CVI-OO,EHM-OO,EQG-OO,ERI-OO,ETH-OO,FIJ-OO,GAB-OO,GAM-OO,GGI-OO,GNB-OO,GUI-OO,IND-OO,IVO-OO,KEN-OO,NAT-OO,LAO-OO,LBR-OO,MDG-OO,MLI-OO,MLW-OO,MLY-OO,MOZ-OO,MTN-OO,MYA-OO,NCB-OO,NEP-OO,NGR-OO,NSW-NS,NTA-OO,PAK-OO,PHI-OO,QLD-QU,RWA-OO,SCS-OO,SEN-OO,SEY-OO,SOM-OO,SRL-OO,SUD-OO,SWZ-OO,TAI-OO,TAN-OO,THA-OO,TOG-OO,TON-OO,TVL-OO,UGA-OO,VIE-OO,WAU-WA,WHM-OO,YEM-OO,ZAI-OO,ZAM-OO,ZIM-OO,",",6,8,5,3,7,2,4,",",60,81,50,83,82,62,38,79,29,61,35,42,78,63,80,",",SAM,LEE,NSW,BAH,WIN,CLM,CUB,CAY,FIJ,FRG,MRN,GUY,HAI,JAP,MXT,MXE,MXS,MXC,MXG,MAU,PUE,TUB,TUA,MRQ,PIT,SCI,SAU,MLY,SUR,FLA,HAW,REU,GAL,ROD,VEN,PER,HON,CRL,,NWC,NUE,WAL,ECU,",",SAM-AS,LEE-AB,NSW-NS,BAH-OO,LEE-SM,WIN-BA,CLM-OO,CUB-OO,CAY-OO,WIN-DO,FIJ-OO,WIN-GR,FRG-OO,MRN-GU,GUY-OO,HAI-HA,LEE-SK,WIN-SL,MXT-CA,MXE-CU,MXS-MI,MXC-PU,MXT-QR,MXT-TB,MXG-VC,MXT-YU,MRN-NM,WIN-MA,MAU-OO,PUE-OO,TUB-OO,TUA-OO,MRQ-OO,PIT-OO,SCI-OO,SAU-OO,MLY-SI,SUR-OO,FLA-OO,HAW-HI,LEE-VI,WIN-SV,LEE-BV,REU-OO,GAL-OO,ROD-OO,VEN-OO,PER-OO,,CRL-MF,ECU-OO,HON-OO,NUE-OO,NWC-OO,WAL-OO,",",8,7,6,",",81,80,78,62,61,60,83,79,82,,",",CUB,HON,FLA,CRL,,NWC,NUE,MRN,PIT,WAL,GAL,SUR,ECU,",",,CRL-MF,CUB-OO,ECU-OO,FLA-OO,GAL-OO,HON-OO,MRN-NM,NUE-OO,NWC-OO,PIT-OO,SUR-OO,WAL-OO,"
Abrus precatorius subsp. africanus,established,",2,3,",",29,26,22,27,23,21,24,25,35,",",ALD,ANG,BEN,BOT,BKN,BUR,CMN,CPP,CVI,CPV,CAF,CHA,COM,CON,EQG,ERI,ETH,GAB,GAM,GUI,GNB,GGI,IVO,KEN,NAT,LBR,MDG,MLW,MLI,MTN,MOZ,NAM,NGR,TVL,RWA,SEN,SEY,SOM,SUD,SWZ,TAN,TOG,UGA,YEM,ZAM,ZAI,ZIM,",",,ALD-OO,ANG-OO,BEN-OO,BKN-OO,BOT-OO,BUR-OO,CAF-OO,CHA-OO,CMN-OO,COM-CO,CON-OO,CPP-OO,CPV-OO,CVI-OO,EQG-OO,ERI-OO,ETH-OO,GAB-OO,GAM-OO,GGI-OO,GNB-OO,GUI-OO,IVO-OO,KEN-OO,NAT-OO,LBR-OO,MDG-OO,MLI-OO,MLW-OO,MOZ-OO,MTN-OO,NGR-OO,RWA-OO,SEN-OO,SEY-OO,SOM-OO,SUD-OO,SWZ-OO,TAN-OO,TOG-OO,TVL-OO,UGA-OO,YEM-OO,ZAI-OO,ZAM-OO,ZIM-OO,",",5,",",50,",",NSW,QLD,",",NSW-NS,QLD-QU,",,,,
Abutilon auritum,established,",4,6,8,5,",",42,41,60,43,83,50,",",XMS,JAW,LAO,LSI,NWC,NWG,PER,PHI,QLD,SUL,VAN,",",,JAW-OO,LAO-OO,LSI-LS,NWC-OO,NWG-OO,PER-OO,PHI-OO,QLD-QU,SUL-OO,VAN-OO,XMS-OO,",",6,2,",",61,63,29,",",SCI,HAW,REU,",",SCI-OO,HAW-HI,REU-OO,",,,,
Abutilon fruticosum,established,",2,7,3,4,",",20,26,78,27,22,24,35,40,34,25,79,77,74,",",ALG,ANG,ARK,BOT,BKN,CHA,DJI,EGY,ERI,ETH,GST,IND,IRN,KEN,MLI,MTN,MXC,MXG,MXE,MXS,MOR,NAM,NWM,NGR,TVL,OKL,OMA,PAK,PAL,SAU,SEN,SIN,SOC,SOM,SUD,TAN,TEX,YEM,ZIM,",",,ALG-OO,ANG-OO,ARK-OO,BKN-OO,BOT-OO,CHA-OO,DJI-OO,EGY-OO,ERI-OO,ETH-OO,GST-OO,IND-OO,IRN-OO,KEN-OO,MLI-OO,MOR-MO,MTN-OO,MXC-OO,MXE-OO,MXG-OO,MXS-OO,NGR-OO,NWM-OO,OKL-OO,OMA-OO,PAK-OO,PAL-OO,SAU-OO,SEN-OO,SIN-OO,SOC-OO,SOM-OO,SUD-OO,TAN-OO,TEX-OO,TVL-OO,YEM-OO,ZIM-OO,",",3,2,",",35,29,",",GST,SEY,",",GST-QA,SEY-OO,",,,,
Abutilon grandifolium,invasive,",8,",",85,83,84,",",AGE,AGW,BOL,BZS,CLN,PAR,PER,URU,,",",,AGE-OO,AGW-OO,BOL-OO,BZS-RS,CLN-OO,PAR-OO,PER-OO,URU-OO,",",2,5,6,3,1,7,",",26,50,22,21,24,51,61,23,38,63,27,29,12,62,",",ANG,NSW,QLD,VIC,WAU,BKN,CNY,ETH,NFK,MDR,TUB,MRQ,SCI,TUA,GGI,TAI,HAW,CPP,TVL,NAT,REU,NZN,MOZ,POR,SPA,CRL,",",ANG-OO,NSW-NS,QLD-QU,VIC-OO,WAU-WA,BKN-OO,CNY-OO,ETH-OO,NFK-NI,MDR-OO,TUB-OO,MRQ-OO,SCI-OO,TUA-OO,GGI-ST,TAI-OO,HAW-HI,CPP-EC,TVL-GA,NAT-OO,REU-OO,NZN-OO,,CRL-MF,MOZ-OO,NSW-OO,POR-OO,QLD-OO,SPA-OO,",",2,1,5,6,7,",",26,29,12,21,50,62,",",MOZ,REU,POR,SPA,CNY,NSW,QLD,CRL,",",,CNY-OO,CRL-MF,MOZ-OO,NSW-OO,POR-OO,QLD-OO,REU-OO,SPA-OO,"
Abutilon guineense,established,",2,3,",",26,22,23,21,36,25,27,29,24,",",ANG,BKN,CMN,CVI,CHC,GHA,GGI,KEN,NAT,MDG,MLW,MOZ,TVL,RWA,SOM,SUD,SWZ,TAN,TOG,UGA,ZAI,ZIM,",",,ANG-OO,BKN-OO,CHC-OO,CMN-OO,CVI-OO,GGI-OO,GHA-OO,KEN-OO,NAT-OO,MDG-OO,MLW-OO,MOZ-OO,RWA-OO,SOM-OO,SUD-OO,SWZ-OO,TAN-OO,TOG-OO,TVL-OO,UGA-OO,ZAI-OO,ZIM-OO,",",8,5,3,2,",",81,50,38,29,",",LEE,QLD,JAP,MAU,REU,",",LEE-AB,QLD-QU,MAU-OO,REU-OO,",,,,
Abutilon hirtum,invasive,",2,4,3,8,",",26,40,27,23,24,36,34,25,22,35,41,28,29,42,83,",",ANG,BAN,BOT,BUR,CMN,CPV,CHA,CHC,DJI,ERI,ETH,IND,IRN,KEN,MOZ,NAM,NGR,NGA,TVL,OMA,PAK,PAL,RWA,SAU,SOM,SRL,SUD,TAN,THA,UGA,VIE,YEM,ZAI,ZIM,,MAU,ROD,REU,AFG,IRQ,MLY,MYA,PER,",",,AFG-OO,ANG-OO,BAN-OO,BOT-OO,BUR-OO,CHA-OO,CHC-YN,CMN-OO,CPV-OO,DJI-OO,ERI-OO,ETH-OO,IND-BI,IND-HA,IND-OR,IND-PU,IND-TN,IND-UP,IRN-OO,IRQ-OO,KEN-OO,MAU-OO,MLY-OO,MOZ-OO,MYA-OO,NGA-OO,NGR-OO,OMA-OO,PAK-OO,PAL-OO,PER-OO,REU-OO,ROD-OO,RWA-OO,SAU-OO,SOM-OO,SRL-OO,SUD-OO,TAN-OO,THA-OO,TVL-OO,UGA-OO,VIE-OO,YEM-OO,ZAI-OO,ZIM-OO,",",8,7,2,6,",",81,83,80,79,29,61,78,60,",",LEE,WIN,CLM,COS,CUB,MXT,MXE,MXG,MAU,NIC,PUE,MRQ,SCI,FLA,REU,ROD,,NWC,",",LEE-AG,LEE-AB,WIN-BA,CLM-OO,COS-OO,CUB-OO,WIN-GR,LEE-SK,MXT-CA,MXT-CI,MXT-TB,MXE-TA,MXG-VC,MXT-YU,WIN-MA,MAU-OO,NIC-OO,PUE-OO,MRQ-OO,SCI-OO,FLA-OO,LEE-VI,LEE-BV,REU-OO,ROD-OO,,NWC-OO,",",8,6,",",81,61,60,",",CUB,,NWC,",",,CUB-OO,NWC-OO,"
