Accepted_name,status,Native_L1,Native_L2,Native_L3,Native_L4,Established_L1,Established_L2,Established_L3,Established_L4,Invasive_L1,Invasive_L2,Invasive_L3,Invasive_L4
Ipomoea fimbriosepala,established,",8,6,3,2,7,4,",",85,83,84,62,36,23,60,80,82,29,61,79,43,",",AGE,BOL,BZN,BZS,BZL,BZC,CRL,CHS,CLM,CON,FIJ,GUA,GUY,MDG,MRN,MRQ,MXG,MXT,NWC,NWG,PAR,PER,REU,TUB,URU,VAN,VEN,WAL,ZAI,",",,AGE-OO,BOL-OO,BZC-OO,BZL-OO,BZN-OO,BZS-OO,CHS-OO,CLM-OO,CON-OO,CRL-OO,FIJ-OO,GUA-OO,GUY-OO,MDG-OO,MRN-OO,MRQ-OO,MXG-OO,MXT-OO,NWC-OO,NWG-OO,PAR-OO,PER-OO,REU-OO,TUB-OO,URU-OO,VAN-OO,VEN-OO,WAL-OO,ZAI-OO,",",6,7,2,",",62,79,29,",",MRN,MXT,MXG,REU,",",MRN-GU,MXT-CA,MXT-TB,MXG-VC,REU-OO,",,,,
Ipomoea hederifolia,invasive,",7,8,",",78,85,76,80,81,83,84,82,79,77,,",",ALA,AGW,ARI,BLZ,BER,BOL,BZN,BZE,BZS,BZL,BZC,CAY,CLM,COS,CUB,DOM,ECU,ELS,FLA,FRG,GEO,GUA,GUY,HAI,HON,JAM,LEE,LOU,MXC,MXG,MXE,MXN,MXT,MXS,MSI,NWM,NIC,PAN,PAR,PER,PUE,SUR,TEX,TRT,VEN,WIN,BAH,,",",,AGW-OO,ALA-OO,ARI-OO,BAH-OO,BER-OO,BLZ-OO,BOL-OO,BZC-GO,BZC-MS,BZC-MT,BZE-AL,BZE-BA,BZE-CE,BZE-MA,BZE-PB,BZE-PE,BZE-PI,BZE-RN,BZE-SE,BZL-ES,BZL-MG,BZL-RJ,BZL-SP,BZN-AM,BZN-PA,BZN-RM,BZN-RO,BZN-TO,BZS-PR,BZS-SC,CAY-OO,CLM-OO,COS-OO,CUB-OO,DOM-OO,ECU-OO,ELS-OO,FLA-OO,FRG-OO,GEO-OO,GUA-OO,GUY-OO,HAI-HA,HON-OO,JAM-OO,LEE-AB,LEE-GU,LEE-MO,LEE-SK,LEE-SM,LEE-VI,LOU-OO,MSI-OO,MXC-DF,MXE-OO,MXG-OO,MXN-OO,MXS-OO,MXT-OO,NIC-OO,NWM-OO,PAN-OO,PAR-OO,PER-OO,PUE-OO,SUR-OO,TEX-OO,TRT-OO,VEN-OO,WIN-BA,WIN-DO,WIN-GR,WIN-MA,WIN-SL,WIN-SV,",",5,2,3,8,4,6,7,",",50,23,22,36,81,42,62,41,40,38,29,26,25,63,75,27,43,60,",",NSW,NTA,QLD,WAU,BUR,BEN,BKN,CHC,IVO,CMN,ZAI,CUB,XMS,GHA,MRN,AND,IND,WHM,JAP,SRL,MDG,MOZ,MAU,NGA,NEP,PHI,GGI,SEY,THA,TAI,TAN,UGA,HAW,VER,NAT,NWG,REU,ROD,COM,,FIJ,NRU,NWC,NWG,TON,WAL,",",NSW-NS,NTA-OO,QLD-QU,WAU-WA,BUR-OO,BEN-OO,BKN-OO,CHC-YN,IVO-OO,CMN-OO,ZAI-OO,CUB-OO,XMS-OO,GHA-OO,MRN-GU,IND-AP,IND-GO,WHM-HP,IND-KT,IND-KE,IND-MR,IND-OR,IND-TN,SRL-OO,MDG-OO,MRN-NM,MOZ-OO,MAU-OO,NGA-OO,NEP-OO,PHI-OO,GGI-ST,SEY-OO,THA-OO,TAI-OO,TAN-OO,UGA-OO,HAW-HI,VER-OO,NAT-OO,NWG-PN,REU-OO,ROD-OO,,COM-MA,FIJ-OO,HAW-OO,IND-OO,NRU-OO,NSW-OO,NWC-OO,NWG-PN,QLD-OO,TON-OO,WAL-OO,WAU-OO,",",2,6,5,4,",",29,63,50,42,60,43,40,",",COM,HAW,,NSW,NTA,QLD,WAU,XMS,FIJ,NRU,NWC,NWG,TON,WAL,IND,",",,COM-MA,FIJ-OO,HAW-OO,IND-OO,NRU-OO,NSW-OO,NTA-OO,NWC-OO,NWG-PN,QLD-OO,TON-OO,WAL-OO,WAU-OO,XMS-OO,"
Ipomoea hildebrandtii,invasive,",2,",",24,25,23,",",ETH,KEN,RWA,TAN,UGA,ZAI,",",,ETH-OO,KEN-OO,RWA-OO,TAN-OO,UGA-OO,ZAI-OO,",",2,",",24,25,",",ETH,KEN,TAN,",",ETH-OO,KEN-OO,TAN-OO,,",",2,",",24,25,",",ETH,KEN,TAN,",",,ETH-OO,KEN-OO,TAN-OO,"
Ipomoea horsfalliae,established,",8,",",82,",",GUY,SUR,",",,GUY-OO,SUR-OO,",",6,3,8,2,",",62,38,81,22,",",MRN,JAP,WIN,NGA,PUE,",",MRN-GU,WIN-SL,WIN-MA,NGA-OO,PUE-OO,",,,,
Ipomoea imperati,established,",7,2,4,8,1,3,6,5,",",78,20,41,26,21,81,12,80,22,84,23,36,83,34,82,63,13,42,38,79,50,40,25,77,",",ALA,ALG,AND,ANG,AZO,BAH,BAL,BLZ,BEN,BZN,BZE,BZS,BZL,CMN,CNY,CVI,CAY,CHS,CLM,CON,COS,CUB,CYP,DOM,EAI,ECU,EGY,EQG,FLA,FRG,GAB,GAL,GAM,GEO,GHA,GUA,GUI,GGI,GUY,CHH,HAI,HAW,HON,ITA,IVO,JAM,JAW,KZN,KRI,LBS,LEE,LBR,LBY,LOU,MDR,MLY,MXG,MXE,MXN,MXT,MXS,MSI,MOR,MOZ,NNS,NIC,NGA,NTA,OGA,PAL,PAN,PHI,PUE,QLD,SEN,SIE,SIN,SCA,SRL,SUR,TAI,TAN,TEX,THA,TOG,TRT,TUR,VEN,VIE,WIN,ZAI,",",,ALA-OO,ALG-OO,AND-AN,ANG-OO,AZO-OO,BAH-OO,BAL-OO,BEN-OO,BLZ-OO,BZE-OO,BZL-OO,BZN-OO,BZS-OO,CAY-OO,CHH-OO,CHS-OO,CLM-OO,CMN-OO,CNY-OO,CON-OO,COS-OO,CUB-OO,CVI-OO,CYP-OO,DOM-OO,EAI-OO,ECU-OO,EGY-OO,EQG-OO,FLA-OO,FRG-OO,GAB-OO,GAL-OO,GAM-OO,GEO-OO,GGI-OO,GHA-OO,GUA-OO,GUI-OO,GUY-OO,HAI-HA,HAW-OO,HON-OO,ITA-IT,IVO-OO,JAM-OO,JAW-OO,KRI-OO,KZN-OO,LBR-OO,LBS-OO,LBY-OO,LEE-OO,LOU-OO,MDR-OO,MLY-OO,MOR-MO,MOZ-OO,MSI-OO,MXE-OO,MXG-OO,MXN-OO,MXS-OO,MXT-OO,NGA-OO,NIC-OO,NNS-OO,NTA-OO,OGA-OO,PAL-OO,PAN-OO,PHI-OO,PUE-OO,QLD-QU,SCA-OO,SEN-OO,SIE-OO,SIN-OO,SRL-OO,SUR-OO,TAI-OO,TAN-OO,TEX-OO,THA-OO,TOG-OO,TRT-OO,TUR-OO,VEN-OO,VIE-OO,WIN-OO,ZAI-OO,",",1,2,7,",",12,21,75,",",SPA,MDR,PEN,AZO,",",SPA-SP,MDR-OO,PEN-OO,AZO-OO,",,,,
Ipomoea indica,invasive,",8,7,6,",",85,81,80,84,83,78,82,79,77,62,61,60,63,",",AGE,AGW,BAH,BLZ,BZN,BZE,BZS,BZL,BZC,CAY,CPI,CLM,COS,CUB,DOM,FLA,FRG,GUA,GUY,HAI,HON,JAM,LEE,MXI,MXC,MXG,MXE,MXT,MXS,NIC,PAN,PAR,PUE,SUR,TEX,TRT,URU,VEN,VNA,WIN,CRL,,MRN,NUE,ECU,",",,AGE-OO,AGW-OO,BAH-OO,BLZ-OO,BZC-GO,BZC-MS,BZC-MT,BZE-AL,BZE-BA,BZE-CE,BZE-PB,BZE-PE,BZE-RN,BZE-SE,BZL-ES,BZL-MG,BZL-RJ,BZL-SP,BZN-AM,BZN-AP,BZS-PR,BZS-RS,BZS-SC,CAY-OO,CLM-OO,COS-OO,CPI-OO,CRL-MF,CRL-PA,CUB-OO,DOM-OO,ECU-OO,FLA-OO,FRG-OO,GUA-OO,GUY-OO,HAI-HA,HON-OO,JAM-OO,LEE-GU,LEE-MO,LEE-SK,MRN-GU,MXC-DF,MXE-OO,MXG-OO,MXI-OO,MXS-OO,MXT-OO,NIC-OO,NUE-OO,PAN-OO,PAR-OO,PUE-OO,SUR-OO,TEX-OO,TRT-OO,URU-OO,VEN-OO,VNA-OO,WIN-SV,",",5,2,8,3,6,1,4,7,",",50,22,81,85,36,61,20,12,21,24,23,13,40,25,29,51,28,27,60,38,76,26,83,79,",",NSW,QLD,SOA,TAS,VIC,WAU,BEN,BER,JNF,CHS,COO,ALG,BAL,CNY,SPA,ETH,FRA,GHA,EQG,GRC,WHM,ITA,SIC,KEN,SRL,MDG,MAU,NFK,MDR,POR,RWA,STH,GGI,SWZ,TON,TAI,TAN,UGA,CAL,CPP,TVL,NAT,ZIM,REU,AZO,ROD,BOL,NZN,NZS,,COR,BAH,PIT,IND,",",NSW-NS,QLD-QU,SOA-OO,TAS-OO,VIC-OO,WAU-WA,BEN-OO,BER-OO,JNF-OO,CHS-GD,COO-OO,ALG-OO,BAL-OO,CNY-OO,SPA-SP,ETH-OO,FRA-FR,GHA-OO,EQG-OO,GRC-OO,WHM-HP,ITA-IT,SIC-SI,KEN-OO,SRL-OO,MDG-OO,MAU-OO,NFK-NI,MDR-OO,POR-OO,RWA-OO,STH-OO,GGI-ST,SWZ-OO,TON-OO,TAI-OO,TAN-OO,UGA-OO,CAL-OO,CPP-EC,TVL-GA,NAT-OO,TVL-MP,CPP-WC,ZIM-OO,REU-OO,AZO-OO,ROD-OO,BOL-OO,NZN-OO,NZS-OO,,BAH-OO,COR-OO,FRA-OO,IND-OO,ITA-OO,PIT-OO,SIC-MA,SPA-OO,",",2,3,1,8,7,5,6,4,",",24,25,27,36,12,13,21,81,79,50,61,51,85,40,",",ETH,KEN,,TAN,UGA,FRA,COR,GRC,ITA,SIC,POR,AZO,MDR,SPA,BAL,CNY,BAH,BER,COO,PIT,IND,",",,AZO-OO,BAH-OO,BAL-OO,BER-OO,CNY-OO,COO-OO,COR-OO,ETH-OO,FRA-OO,GRC-OO,IND-OO,ITA-OO,KEN-OO,MDR-OO,PIT-OO,POR-OO,SIC-MA,SPA-OO,TAN-OO,UGA-OO,"
Ipomoea intrapilosa,established,",7,",",79,",",MXC,MXE,MXN,MXS,",",,MXC-OO,MXE-OO,MXN-OO,MXS-OO,",",2,",",26,",",MOZ,",",MOZ-OO,",,,,
Ipomoea lacunosa,invasive,",7,",",78,74,75,77,",",ALA,ARK,DEL,WDC,FLA,GEO,ILL,INI,KAN,KTY,LOU,MRY,MSI,MSO,NCA,OHI,OKL,PEN,SCA,TEN,TEX,VRG,WVA,",",,ALA-OO,ARK-OO,DEL-OO,FLA-OO,GEO-OO,ILL-OO,INI-OO,KAN-OO,KTY-OO,LOU-OO,MRY-OO,MSI-OO,MSO-OO,NCA-OO,OHI-OO,OKL-OO,PEN-OO,SCA-OO,TEN-OO,TEX-OO,VRG-OO,WDC-OO,WVA-OO,",",7,3,",",72,36,38,76,75,74,",",ONT,CHS,CHH,JAP,KOR,TAI,CAL,MAS,NWY,WIS,",",ONT-OO,CHS-ZJ,CHS-HN,CHS-GD,CHH-OO,KOR-SK,TAI-OO,CAL-OO,MAS-OO,NWY-OO,WIS-OO,",",3,",",36,",,
Ipomoea littoralis,established,",4,6,3,2,5,",",40,42,62,61,60,63,38,29,41,43,50,",",BAN,BOR,CRL,COO,FIJ,GIL,HAW,IND,JAW,KZN,LSI,MDG,MLY,MOL,MRN,MRQ,MRS,MYA,NNS,NRU,NWC,NWG,NCB,NUE,OGA,PHI,QLD,SAM,SEY,SCI,SOL,SCS,SRL,SUL,SUM,TAI,THA,TON,TUA,TUB,VAN,VIE,WAL,",",,BAN-OO,BOR-OO,COO-OO,CRL-OO,FIJ-OO,GIL-OO,HAW-OO,IND-OO,JAW-OO,KZN-OO,LSI-LS,MDG-OO,MLY-OO,MOL-OO,MRN-OO,MRQ-OO,MRS-OO,MYA-OO,NCB-OO,NNS-OO,NRU-OO,NUE-OO,NWC-OO,NWG-OO,OGA-OO,PHI-OO,QLD-QU,SAM-WS,SCI-OO,SCS-OO,SEY-OO,SOL-OO,SRL-OO,SUL-OO,SUM-OO,TAI-OO,THA-OO,TON-OO,TUA-OO,TUB-OO,VAN-OO,VIE-OO,WAL-OO,",",6,",",60,",",TON,",",TON-OO,",,,,
Ipomoea lobata,established,",7,",",79,",",MXS,",",,MXS-OO,",",2,8,",",25,83,",",TAN,BOL,",",TAN-OO,BOL-OO,",,,,
Ipomoea mauritiana,invasive,",2,8,",",26,80,22,83,84,23,21,24,29,81,82,25,27,",",ANG,BLZ,BEN,BOL,BZN,BZE,BZL,BZC,CMN,CVI,CAF,CHA,CLM,COM,CON,COS,DOM,ECU,EQG,FRG,GAB,GAM,GHA,GUA,GUI,GNB,GGI,GUY,HAI,HON,IVO,JAM,KEN,NAT,LBR,MDG,MLW,MAU,MOZ,NIC,NGA,PAN,PER,PUE,ROD,REU,SEN,SIE,SOM,SUD,SUR,TAN,TOG,UGA,VEN,ZAM,ZAI,ZIM,",",,ANG-OO,BEN-OO,BLZ-OO,BOL-OO,BZC-OO,BZE-OO,BZL-OO,BZN-OO,CAF-OO,CHA-OO,CLM-OO,CMN-OO,COM-CO,CON-OO,COS-OO,CVI-OO,DOM-OO,ECU-OO,EQG-OO,FRG-OO,GAB-OO,GAM-OO,GGI-OO,GHA-OO,GNB-OO,GUA-OO,GUI-OO,GUY-OO,HAI-HA,HON-OO,IVO-OO,JAM-OO,KEN-OO,NAT-OO,LBR-OO,MAU-OO,MDG-OO,MLW-OO,MOZ-OO,NGA-OO,NIC-OO,PAN-OO,PER-OO,PUE-OO,REU-OO,ROD-OO,SEN-OO,SIE-OO,SOM-OO,SUD-OO,SUR-OO,TAN-OO,TOG-OO,UGA-OO,VEN-OO,ZAI-OO,ZAM-OO,ZIM-OO,",",8,3,4,2,",",81,36,40,38,29,",",WIN,CHS,CHC,IND,JAP,SRL,MAU,TAI,REU,ROD,",",WIN-BA,CHS-GD,CHS-GX,CHC-YN,IND-GO,IND-KE,IND-MR,IND-TN,SRL-OO,WIN-MA,MAU-OO,TAI-OO,WIN-SV,REU-OO,ROD-OO,",",3,",",36,",,
Ipomoea meyeri,established,",8,7,",",80,84,83,81,79,82,",",BLZ,BZN,BZE,CLM,COS,CUB,DOM,ECU,ELS,GUA,HAI,HON,JAM,MXC,MXG,MXE,MXN,MXT,MXS,NIC,PAN,PER,PUE,TRT,VEN,",",,BLZ-OO,BZE-OO,BZN-OO,CLM-OO,COS-OO,CUB-OO,DOM-OO,ECU-OO,ELS-OO,GUA-OO,HAI-HA,HON-OO,JAM-OO,MXC-OO,MXE-OO,MXG-OO,MXN-OO,MXS-OO,MXT-OO,NIC-OO,PAN-OO,PER-OO,PUE-OO,TRT-OO,VEN-OO,",",8,",",84,",",BZE,",",BZE-MA,",,,,
Ipomoea muricata,established,",8,7,",",85,80,83,84,79,81,82,",",AGW,BLZ,BOL,BZE,BZL,CLM,COS,ECU,ELS,GAL,GUA,HON,MXC,MXE,MXN,MXT,NLA,NIC,PER,VEN,",",,AGW-OO,BLZ-OO,BOL-OO,BZE-OO,BZL-OO,CLM-OO,COS-OO,ECU-OO,ELS-OO,GAL-OO,GUA-OO,HON-OO,MXC-OO,MXE-OO,MXN-OO,MXT-OO,NIC-OO,NLA-OO,PER-OO,VEN-OO,",",2,3,4,8,",",26,22,36,21,38,40,24,83,84,23,25,",",ANG,BEN,CHS,CHC,CVI,JAP,SRL,NEP,CHA,ZAM,BKN,BOL,BZE,BZL,CMN,IND,EHM,ASS,WHM,LBR,SIE,TAN,",",ANG-OO,BEN-OO,CHS-HE,CHC-HU,CHS-HN,CHC-YN,CVI-OO,SRL-OO,NEP-OO,CHA-OO,ZAM-OO,BKN-OO,BOL-OO,BZE-BA,BZE-CE,BZL-MG,BZE-PE,BZE-RN,BZL-SP,CMN-OO,IND-AP,EHM-AP,ASS-AS,IND-BI,IND-CH,IND-CT,IND-DE,IND-GO,IND-GU,IND-HA,WHM-HP,WHM-JK,IND-JK,IND-KT,IND-KE,IND-MR,ASS-MA,IND-MP,ASS-ME,ASS-MI,ASS-NA,IND-OR,IND-PO,IND-PU,IND-RA,EHM-SI,IND-TN,ASS-TR,WHM-UT,IND-UP,IND-WB,LBR-OO,SIE-OO,TAN-OO,",,,,
Ipomoea neurocephala,established,",8,7,",",83,84,79,",",BOL,BZL,BZC,MXC,MXE,MXS,PER,",",,BOL-OO,BZC-OO,BZL-OO,MXC-OO,MXE-OO,MXS-OO,PER-OO,",",8,",",84,",",BZC,BZL,",",BZC-DF,BZC-GO,BZL-MG,",,,,
