"AcceptedName","Habit","NativeStatus","n_nurseries","StatesSold","NativeRange","StatesRegulated","P_conventional","P_native","Rank"
"Sidalcea oregana","Forb/herb","EFNonNative",1,"VT","ID, MT, OR, WA, WY, CA, NV, UT",NA,0.00390625,0,1236
"Sisyrinchium campestre","Forb/herb","EFNative",1,"PA","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, IN, MI, OH, TX, AR, LA",NA,0.00390625,0,1237
"Sisyrinchium idahoense","Forb/herb","EFNonNative",1,"PA","CO, ID, MT, OR, WA, WY, AZ, CA, NV, UT, NM",NA,0.00390625,0,1238
"Sisyrinchium nashii","Forb/herb","EFNative",1,"PA","AL, FL, GA, MS, NC, SC, TN, VA",NA,0.00390625,0,1239
"Solidago drummondii","Forb/herb","EFNative",1,"PA","IL, MO, AR",NA,0.00390625,0,1240
"Solidago ptarmicoides","Forb/herb","EFNative",1,"PA","CO, MT, WY, IL, IA, MN, MO, OK, SD, WI, CT, IN, MI, NH, NY, OH, VT, SC",NA,0.00390625,0,1241
"Sporobolus rigidus","Grass","EFNative",1,"PA","CO, ID, MT, WA, WY, IL, IA, KS, MN, MO, ND, NE, SD, WI, IN, MI, NY, OH, PA, NM",NA,0.00390625,0,1242
"Stenanthium gramineum","Forb/herb","EFNative",1,"WV","IL, MO, IN, MI, OH, PA, WV, TX, AL, AR, FL, GA, KY, LA, MD, NC, SC, TN, VA",NA,0.00390625,0,1243
"Stenaria nigricans","Forb/herb","EFNative",1,"WV","CO, IL, IA, KS, MO, NE, OK, IN, MI, OH, NM, TX, AL, AR, FL, GA, KY, LA, MS, TN",NA,0.00390625,0,1244
"Symphyotrichum drummondii","Forb/herb","EFNative",1,"PA","IL, IA, KS, MN, MO, NE, OK, WI, IN, MI, OH, PA, WV, TX, AL, AR, GA, KY, LA, MD, MS, TN",NA,0.00390625,0,1245
"Symphyotrichum turbinellum","Forb/herb","EFNative",1,"RI","IL, IA, KS, MO, NE, OK, AR, LA",NA,0.00390625,0,1246
"Taxus brevifolia","Tree","EFNonNative",1,"ME","AK, ID, MT, OR, WA, CA",NA,0.00390625,0,1247
"Thalia geniculata","Forb/herb","EFNative",1,"MA","FL, LA",NA,0.00390625,0,1248
"Thermopsis rhombifolia","Forb/herb","EFNonNative",1,"WV","CO, MT, WY, ND, NE, SD, NM",NA,0.00390625,0,1249
"Tradescantia occidentalis","Forb/herb","EFNative",1,"PA","CO, MT, WY, IA, KS, MN, ND, NE, OK, SD, WI, NJ, NY, AZ, UT, NM, TX, AR, LA",NA,0.00390625,0,1250
"Trillium simile","Forb/herb","EFNative",1,"VT","GA, NC, TN",NA,0.00390625,0,1251
"Triosteum perfoliatum","Forb/herb","EFNative",1,"RI","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, MA, MI, NJ, NY, OH, PA, RI, WV, TX, AL, AR, DE, GA, KY, LA, MD, NC, SC, TN, VA",NA,0.00390625,0,1252
"Vaccinium membranaceum","Shrub","EFNative",1,"VA","CO, ID, MT, OR, WA, WY, SD, MI, AZ, CA, UT",NA,0.00390625,0,1253
"Vancouveria hexandra","Forb/herb","EFNonNative",1,"VT","OR, WA, CA",NA,0.00390625,0,1254
"Veratrum virginicum","Forb/herb","EFNative",1,"RI","IL, IA, KS, MO, OK, IN, NJ, NY, OH, PA, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.00390625,0,1255
"Veratrum viride","Forb/herb","EFNative",1,"WV","AK, ID, MT, OR, WA, CT, ME, MA, NH, NJ, NY, OH, PA, RI, VT, WV, CA, DE, GA, MD, NC, SC, TN, VA",NA,0.00390625,0,1256
"Verbesina helianthoides","Forb/herb","EFNative",1,"MD","IL, IA, KS, MO, OK, IN, OH, TX, AL, AR, GA, KY, LA, MS, NC, TN",NA,0.00390625,0,1257
"Vernonia baldwinii","Forb/herb","EFNative",1,"PA","CO, IL, IA, KS, MO, NE, OK, MI, TX, AR, KY, LA",NA,0.00390625,0,1258
"Viola rotundifolia","Forb/herb","EFNative",1,"WV","CT, ME, MA, NH, NY, OH, PA, RI, VT, WV, DE, GA, KY, MD, NC, SC, TN, VA",NA,0.00390625,0,1259
"Zinnia grandiflora","Forb/herb","EFNonNative",1,"MD","CO, KS, OK, AZ, NM, TX",NA,0.00390625,0,1260
"Gaultheria procumbens","Shrub","EFNative",46,"NY, NJ, CT, OH, ME, MD, MA, DE, PA, RI, NH, WV, VT, VA","IL, MN, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, DE, GA, KY, MD, NC, SC, TN, VA",NA,0.13671875,0.132530120481928,1261
"Cornus canadensis","Forb/herb","EFNative",22,"ME, MD, OH, NY, DE, VT, NH, RI, VA","AK, CO, ID, MT, WA, WY, IL, IA, MN, ND, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, NM, MD, VA",NA,0.06640625,0.0602409638554217,1262
"Onoclea struthiopteris","Forb/herb","EFNative",100,"OH, MA, MD, NY, PA, RI, CT, NJ, VA, ME, DE, VT, NH","CT, IL, IN, IA, ME, MD, MA, MI, MN, MO, NE, NH, NJ, NY, ND, OH, PA, RI, SD, VT, VA, WV, WI",NA,0.296875,0.289156626506024,1263
"Abies amabilis","Tree","EFNonNative",2,"CT, MA","AK, OR, WA, CA",NA,0.0078125,0,1264
"Amelanchier nantucketensis","Shrub","EFNative",2,"ME, CT","CT, ME, MA, NH, NJ, NY, RI, MD, SC, VA",NA,0.0078125,0,1265
"Aquilegia chrysantha","Forb/herb","EFNonNative",2,"CT, VA","CO, AZ, UT, NM, TX",NA,0.0078125,0,1266
"Arnica chamissonis","Forb/herb","EFNonNative",2,"VT, ME","AK, CO, ID, MT, OR, WA, WY, AZ, CA, NV, UT, NM",NA,0.0078125,0,1267
"Asclepias perennis","Forb/herb","EFNative",2,"DE, PA","IL, MO, IN, TX, AL, AR, FL, GA, KY, LA, MS, SC, TN",NA,0.0078125,0,1268
