"AcceptedName","Habit","NativeStatus","n_nurseries","StatesSold","NativeRange","StatesRegulated","P_conventional","P_native","Rank"
"Monarda fistulosa","Forb/herb","EFNative",89,"ME, MA, PA, MD, NH, RI, NJ, VA, CT, DE, NY, VT, OH","CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, NM, TX, AL, AR, FL, GA, KY, LA, MD, MS, NC, TN, VA",NA,0.140625,0.63855421686747,1
"Lobelia siphilitica","Forb/herb","EFNative",106,"MA, MD, PA, NY, NH, RI, NJ, ME, VA, OH, CT, VT, DE, WV","CO, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.1953125,0.674698795180723,2
"Eupatorium perfoliatum","Forb/herb","EFNative",62,"ME, MA, PA, MD, NH, RI, OH, VA, CT, DE, VT, NJ","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0703125,0.530120481927711,3
"Asclepias incarnata","Forb/herb","EFNative",129,"MA, MD, KY, PA, VT, OH, NY, NH, RI, CT, ME, NJ, VA, DE, WV","CO, ID, MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, NV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, NC, SC, TN, VA",NA,0.2734375,0.710843373493976,4
"Aquilegia canadensis","Forb/herb","EFNative",102,"MA, NY, MD, NH, PA, RI, CT, ME, NJ, VA, VT, DE, WV, OH","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.1953125,0.626506024096386,5
"Vernonia noveboracensis","Forb/herb","EFNative",81,"MA, MD, NH, NJ, PA, RI, VA, CT, ME, VT, NY, DE, OH, WV","CT, MA, NJ, NY, PA, RI, WV, AL, DE, FL, GA, MD, NC, SC, TN, VA",NA,0.13671875,0.55421686746988,6
"Cephalanthus occidentalis","Shrub","EFNative",123,"MA, OH, MD, KY, PA, NH, NJ, RI, NY, VA, CT, ME, DE, VT","IL, MN, MO, NE, OK, WI, CT, IN, ME, MA, NH, NJ, NY, PA, RI, VT, AZ, CA, UT, NM, TX, AL, AR, FL, GA, KY, LA, MD, NC, SC, TN, VA",NA,0.26171875,0.674698795180723,7
"Zizia aurea","Forb/herb","EFNative",62,"MA, MD, NH, PA, RI, VA, CT, ME, DE, NJ, VT, NY, OH, WV","MT, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.08203125,0.493975903614458,8
"Rudbeckia laciniata","Forb/herb","EFNative",71,"PA, MD, RI, MA, CT, VA, ME, DE, NY, NH, NJ, VT, OH","CO, MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NY, OH, PA, VT, WV, AZ, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, NC, SC, TN, VA",NA,0.109375,0.518072289156627,9
"Lobelia cardinalis","Forb/herb","EFNative",137,"DE, MA, MD, PA, NY, NH, RI, CT, ME, NJ, VA, OH, VT, WV","CO, IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, NV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.3046875,0.710843373493976,10
"Verbena hastata","Forb/herb","EFNative",60,"ME, MA, PA, MD, RI, OH, VA, CT, DE, NJ, NY, VT, NH","CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, UT, NM, TX, AL, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.08203125,0.469879518072289,11
"Conoclinium coelestinum","Forb/herb","EFNative",69,"MA, PA, MD, RI, VA, NJ, CT, NY, DE, WV, ME, VT","IL, KS, MO, NE, OK, IN, MI, NJ, NY, OH, PA, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.109375,0.493975903614458,12
"Monarda punctata","Forb/herb","EFNative",61,"MA, MD, NH, RI, PA, VA, CT, DE, ME, VT, NJ","IL, IA, KS, MN, MO, OK, WI, CT, IN, MA, MI, NJ, NY, PA, VT, NM, TX, AL, AR, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0859375,0.469879518072289,13
"Asclepias syriaca","Forb/herb","EFNative",63,"MA, PA, MD, RI, OH, NJ, DE, VA, CT, ME, VT","MT, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.09375,0.469879518072289,14
"Lindera benzoin","Shrub","EFNative",100,"OH, MD, PA, NH, NJ, MA, RI, CT, VA, ME, DE, NY, VT","IL, KS, MO, OK, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.203125,0.578313253012048,15
"Solidago caesia","Forb/herb","EFNative",47,"ME, MA, DE, PA, MD, NH, RI, NJ, VA, CT, OH, VT, WV","IL, MO, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.046875,0.421686746987952,16
"Cornus amomum","Shrub","EFNative",65,"ME, MA, MD, NJ, VA, CT, PA, DE, RI, OH, VT","IL, IA, MO, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, DE, FL, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.1015625,0.469879518072289,17
"Pycnanthemum tenuifolium","Forb/herb","EFNative",54,"MA, PA, MD, NH, RI, CT, VA, NJ, DE, WV, NY, VT, ME, OH","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0703125,0.433734939759036,18
"Chelone glabra","Forb/herb","EFNative",91,"MA, PA, NY, MD, NH, RI, NJ, VA, OH, CT, ME, VT, DE, WV","IL, IA, MN, MO, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.1796875,0.542168674698795,19
"Corylus americana","Shrub","EFNative",63,"MD, NH, MA, PA, CT, OH, NJ, VA, DE, VT, ME, RI","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.09765625,0.457831325301205,20
"Symphyotrichum cordifolium","Forb/herb","EFNative",59,"ME, MA, PA, MD, NH, RI, OH, NJ, VA, CT, DE, VT","IL, IA, MN, MO, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, GA, KY, MD, NC, SC, TN, VA",NA,0.0859375,0.44578313253012,21
"Packera aurea","Forb/herb","EFNative",51,"MA, OH, PA, MD, VA, CT, DE, VT, ME, WV, NJ, RI, NH","IL, IA, MN, MO, ND, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, FL, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.0625,0.421686746987952,22
"Pycnanthemum muticum","Forb/herb","EFNative",84,"MA, PA, NY, MD, NH, RI, VA, CT, OH, NJ, VT, DE, ME, WV","IL, MO, CT, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, MD, NC, TN",NA,0.16015625,0.518072289156627,23
"Pycnanthemum virginianum","Forb/herb","EFNative",48,"ME, MA, VA, PA, MD, NH, RI, DE, NJ, OH, VT","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, MD, TN, VA",NA,0.0546875,0.409638554216867,24
"Solidago speciosa","Forb/herb","EFNative",37,"MA, PA, NH, RI, MD, VA, CT, NJ, VT, ME, OH","MN, WI, CT, MA, NJ, NY, OH, RI, VT, WV, AL, DE, GA, KY, MD, NC, SC, TN, VA",NA,0.0234375,0.373493975903614,25
"Symphyotrichum laeve","Forb/herb","EFNative",66,"ME, MA, OH, MD, NH, RI, PA, CT, NJ, VA, DE, VT, WV, NY","CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, CA, NV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.109375,0.457831325301205,26
"Penstemon digitalis","Forb/herb","EFNative",103,"ME, MA, PA, NY, MD, NH, RI, NJ, VA, CT, VT, DE, WV, OH","IL, IA, KS, MN, MO, NE, OK, WI, IN, MI, OH, TX, AL, AR, KY, LA, MS, TN",NA,0.21875,0.566265060240964,27
"Mimulus ringens","Forb/herb","EFNative",38,"MA, PA, NH, MD, VA, CT, VT, RI, NJ, ME","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.02734375,0.373493975903614,28
"Eurybia divaricata","Forb/herb","EFNative",36,"PA, MD, NJ, MA, VA, CT, RI, NH, ME","CT, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, DE, GA, KY, MD, NC, SC, TN, VA",NA,0.0234375,0.36144578313253,29
"Solidago flexicaulis","Forb/herb","EFNative",36,"ME, MA, PA, MD, VA, CT, OH, WV, NJ, RI, NH","IL, IA, KS, MN, MO, ND, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, VT, WV, AL, AR, DE, GA, KY, MD, NC, TN, VA",NA,0.0234375,0.36144578313253,30
"Baptisia australis","Forb/herb","EFNative",94,"MA, KY, VT, PA, MD, NH, OH, RI, ME, NJ, VA, CT, DE, WV, NY","CO, IA, KS, MO, OK, IN, NY, OH, PA, VT, WV, AZ, NM, TX, AL, AR, DE, GA, KY, MD, TN, VA",NA,0.1953125,0.530120481927711,31
"Eragrostis spectabilis","Grass","EFNative",71,"OH, PA, VA, CT, MA, MD, ME, RI, DE, NJ, NY, VT","CO, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, NM, TX, AL, AR, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.12890625,0.457831325301205,32
"Euthamia graminifolia","Forb/herb","EFNative",39,"MA, PA, RI, MD, VA, NJ, CT, WV, ME, NH","CO, WY, IA, MN, ND, SD, WI, ME, MI, NH, NY, PA, VT, WV, NM, MD, NC, SC, VA",NA,0.03515625,0.36144578313253,33
"Rosa palustris","Shrub","EFNative",52,"MA, MD, PA, NH, NJ, RI, VA, CT, DE, ME, NY, VT, OH","IL, IA, MO, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, FL, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.07421875,0.397590361445783,34
"Asclepias tuberosa","Forb/herb","EFNative",134,"MA, KY, VA, VT, PA, OH, NY, MD, NH, RI, CT, NJ, DE, ME, WV","CO, IL, IA, KS, MN, MO, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.31640625,0.63855421686747,35
"Solidago nemoralis","Forb/herb","EFNative",37,"MA, PA, RI, MD, NJ, VA, CT, ME, NH","CO, MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN",NA,0.03125,0.349397590361446,36
"Ceanothus americanus","Shrub","EFNative",70,"MA, MD, NH, NJ, PA, RI, CT, OH, VA, ME, DE, VT, NY","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.12890625,0.44578313253012,37
"Allium cernuum","Forb/herb","EFNative",62,"MA, PA, MD, NH, RI, NJ, VA, CT, DE, OH, VT, ME, WV","CO, ID, MT, OR, WA, WY, IL, IA, MN, MO, NE, SD, WI, IN, MI, NY, OH, PA, WV, AZ, UT, NM, TX, AL, AR, GA, KY, MD, NC, SC, TN, VA",NA,0.10546875,0.421686746987952,38
"Prunus serotina","Shrub","EFNative",46,"MD, MA, NJ, PA, VA, CT, DE, OH, ME, RI","CO, WA, IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.05859375,0.373493975903614,39
"Fragaria virginiana","Forb/herb","EFNative",38,"MA, PA, MD, VA, CT, OH, ME, VT, NH, RI, NJ","AK, CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, NV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.03515625,0.349397590361446,40
"Hypericum prolificum","Shrub","EFNative",30,"MD, NH, PA, VA, CT, NJ, MA, VT","IL, IA, MN, MO, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.01171875,0.325301204819277,41
"Eutrochium fistulosum","Forb/herb","EFNative",26,"PA, NJ, MD, VA, ME, CT, MA, NH, RI","IL, MO, OK, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0,0.313253012048193,42
"Asimina triloba","Shrub","EFNative",93,"OH, MD, KY, NY, NJ, PA, MA, RI, CT, VA, ME, DE, WV, NH, VT","IL, IA, KS, MO, NE, OK, WI, IN, MI, NJ, NY, OH, PA, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.19921875,0.506024096385542,43
"Penstemon hirsutus","Forb/herb","EFNative",40,"ME, MA, NH, RI, MD, PA, VA, CT, DE, OH, NJ, VT","IL, WI, CT, IN, ME, MA, MI, NJ, NY, OH, PA, RI, VT, WV, DE, KY, MD, TN, VA",NA,0.04296875,0.349397590361446,44
"Anemone virginiana","Forb/herb","EFNative",37,"MA, PA, MD, VA, NJ, CT, DE, VT, WV, ME, RI, NH","CO, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.03515625,0.337349397590361,45
"Geranium maculatum","Forb/herb","EFNative",82,"MA, PA, NY, MD, NH, RI, NJ, VA, OH, CT, ME, WV, DE, VT","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.16796875,0.469879518072289,46
"Iris versicolor","Forb/herb","EFNative",111,"ME, MD, OH, NY, NH, PA, RI, MA, CT, NJ, VA, VT, DE","MN, WI, CT, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, MD, VA",NA,0.25390625,0.55421686746988,47
"Clematis virginiana","Vine","EFNative",42,"MD, NH, PA, MA, RI, VA, CT, ME, NY, NJ, VT, OH","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.05078125,0.349397590361446,48
"Viola sororia","Forb/herb","EFNative",34,"MA, NH, PA, MD, NJ, VA, CT, ME, WV, VT","CO, MT, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.02734375,0.325301204819277,49
"Pycnanthemum incanum","Forb/herb","EFNative",30,"PA, RI, MD, VA, NJ, MA, OH","IL, CT, IN, MA, NJ, NY, OH, PA, VT, WV, AL, FL, KY, MD, NC, SC, TN, VA",NA,0.015625,0.313253012048193,50
"Schizachyrium scoparium","Grass","EFNative",117,"DE, OH, MA, NY, MD, NJ, PA, VA, CT, ME, RI, VT, NH, WV, KY","CO, ID, MT, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, CA, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.2734375,0.566265060240964,51
"Cornus racemosa","Shrub","EFNative",68,"MA, OH, MD, CT, NJ, PA, VA, ME, DE, RI, VT, NY, NH","IL, IA, MN, MO, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, KY, MD, NC, VA",NA,0.12890625,0.421686746987952,52
"Veronicastrum virginicum","Forb/herb","EFNative",81,"MA, PA, NY, MD, NH, RI, NJ, VA, CT, ME, VT, DE, OH, WV","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NJ, NY, OH, PA, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.16796875,0.457831325301205,53
"Diospyros virginiana","Tree","EFNative",77,"OH, MD, PA, MA, RI, CT, NJ, VA, ME, DE, WV, NY, VT","IL, IA, KS, MO, OK, CT, IN, NJ, NY, OH, PA, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.15625,0.44578313253012,54
"Viburnum prunifolium","Shrub","EFNative",59,"OH, MD, KY, NJ, PA, VA, CT, DE, VT, ME, NH, RI","IL, IA, KS, MO, OK, WI, CT, IN, MI, NJ, NY, OH, PA, WV, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.10546875,0.385542168674699,55
"Coreopsis lanceolata","Forb/herb","EFNative",39,"MA, PA, MD, NH, NJ, CT, VA, NY, VT, ME, OH","IL, KS, MN, MO, OK, WI, IN, MI, NJ, NY, OH, PA, VT, WV, NM, TX, AL, AR, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.046875,0.325301204819277,56
"Helenium autumnale","Forb/herb","EFNative",68,"MA, OH, PA, MD, NH, RI, NJ, VA, CT, ME, DE, VT","CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, WI, IN, MA, MI, NJ, NY, OH, PA, WV, AZ, CA, NV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.1328125,0.409638554216867,57
"Spiraea tomentosa","Shrub","EFNative",48,"MA, MD, NH, NJ, RI, PA, CT, DE, VA, VT, OH, ME, NY","IL, KS, MN, MO, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.07421875,0.349397590361446,58
"Salvia lyrata","Forb/herb","EFNative",40,"MA, PA, MD, RI, VA, CT, DE, NJ, ME, OH","IL, KS, MO, CT, NJ, NY, TX, AL, FL, KY, MD, SC, TN",NA,0.05078125,0.325301204819277,59
"Rosa virginiana","Shrub","EFNative",45,"MA, MD, PA, NH, RI, NJ, VA, CT, ME, DE, VT, OH, NY","MO, CT, ME, MA, MI, NH, NJ, NY, PA, RI, VT, DE, KY, MD, TN, VA",NA,0.06640625,0.337349397590361,60
"Elymus hystrix","Grass","EFNative",29,"PA, MD, VA, NJ","IL, IA, KS, MN, MO, ND, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, KY, MD, NC, TN",NA,0.01953125,0.289156626506024,61
"Eutrochium purpureum","Forb/herb","EFNative",66,"MA, PA, OH, NH, RI, MD, NJ, VA, ME, DE, VT, NY","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.12890625,0.397590361445783,62
"Doellingeria umbellata","Forb/herb","EFNative",62,"ME, MA, PA, MD, RI, OH, NJ, VA, CT, DE, VT, NH, WV, NY","IL, IA, MN, ND, NE, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, DE, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.1171875,0.385542168674699,63
"Heliopsis helianthoides","Forb/herb","EFNative",87,"MA, OH, NY, MD, PA, RI, NJ, VA, CT, ME, DE, NH, VT","CO, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, NM, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.19140625,0.457831325301205,64
"Baptisia tinctoria","Forb/herb","EFNative",38,"MA, VT, PA, MD, NH, RI, NJ, VA, CT, DE, ME","IL, MN, WI, IN, ME, MA, MI, NY, OH, PA, VT, WV, GA, KY, LA, MD, NC, TN, VA",NA,0.046875,0.313253012048193,65
"Viburnum lentago","Shrub","EFNative",63,"MA, OH, MD, NJ, RI, PA, VT, VA, ME, CT, DE, NH","MT, WY, IL, IA, MN, MO, ND, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, GA, MD, VA",NA,0.12109375,0.385542168674699,66
"Eryngium yuccifolium","Forb/herb","EFNative",59,"MA, PA, MD, RI, OH, NJ, VA, CT, VT, DE, WV, ME, NH","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, MI, NJ, OH, TX, AL, AR, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.109375,0.373493975903614,67
"Platanus occidentalis","Tree","EFNative",76,"OH, MD, NY, RI, KY, PA, VA, CT, NJ, VT, DE, MA, ME","IL, IA, KS, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.16015625,0.421686746987952,68
"Sorghastrum nutans","Grass","EFNative",60,"MA, PA, MD, NH, RI, NJ, VA, CT, NY, DE, OH, ME, VT","CO, MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.11328125,0.373493975903614,69
"Asclepias verticillata","Forb/herb","EFNative",44,"MA, PA, NH, RI, MD, OH, NJ, VA, CT, DE, VT, WV","MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, MA, MI, NJ, NY, OH, PA, RI, VT, WV, AZ, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.06640625,0.325301204819277,70
"Carex vulpinoidea","Grass","EFNative",40,"MA, PA, NY, MD, VA, VT, DE, ME, NJ, RI, OH","CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0546875,0.313253012048193,71
"Solidago odora","Forb/herb","EFNative",40,"MA, DE, MD, NH, RI, PA, VA, ME, NJ, NY, CT","MO, OK, CT, MA, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0546875,0.313253012048193,72
"Sambucus canadensis","Shrub","EFNative",85,"MA, DE, MD, NY, NH, NJ, RI, PA, VA, ME, OH, VT, WV, CT","MT, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.1875,0.44578313253012,73
"Sedum ternatum","Forb/herb","EFNative",57,"MD, NY, RI, PA, NJ, VA, CT, ME, DE, VT, WV, NH, OH, MA","IL, IA, MO, CT, IN, ME, MA, MI, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.10546875,0.36144578313253,74
"Rosa carolina","Shrub","EFNative",37,"MD, MA, RI, PA, NJ, VA, CT, VT, NY, ME","IL, IA, KS, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.046875,0.301204819277108,75
"Salix nigra","Tree","EFNative",33,"MD, NJ, MA, VA, CT, PA, ME, OH","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.03515625,0.289156626506024,76
"Eutrochium maculatum","Forb/herb","EFNative",75,"OH, KY, PA, MD, NH, MA, RI, NJ, VA, CT, ME, DE, VT, NY","CO, ID, WA, WY, IL, IA, KS, MN, MO, ND, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, VT, WV, AZ, UT, NM, MD, NC, VA",NA,0.16015625,0.409638554216867,77
"Prunus americana","Shrub","EFNative",31,"MD, VT, PA, ME, VA, DE, MA, NJ, OH, RI","CO, ID, MT, OR, WA, WY, IL, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, UT, NM, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.03125,0.27710843373494,78
